Type,Extent,Date,Image_URL,Description,Identifier,Creator,Publisher,Language,Location,Subject,Title
cartographic,1 map ; 26 x 33 cm.,1828,https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701a/ct003947.gif,At lower right: Atlantic Souvenir for 1829./Available also through the Library of Congress Web site as a raster image./Vendor: Bernard J. Shapero Books (London)/Acquisitions control no. 2007-228,http://hdl.loc.gov/loc.gmd/g3701a.ct003947,"Imbert, Anthony, 1794 or 1795-1834.","N[ew] Y[ork] : Lithography of Imbert, [1828?]",eng,United States,United States--Maps/United States--Territorial expansion--Maps/Indians of North America--History--Maps/United States,"A new map of the United States with the additional territories : on an improved plan, exhibiting a view of the Rocky Mountains surveyed by a company of Winebago [i.e. Winnebago] Indians in 1828."
cartographic/collection,"118 map sheets in 56 folders in 1 drawer : some color, some photocopies ; various sizes",1898,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:84:pa-184:pa-184-00001/full/pct:12.5/0/default.jpg,"This record covers single maps of Pittsburgh showing various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger.",https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.pa-184,,"[Various places] : [various publishers], [approximately 1898-1966]",eng,Pennsylvania--Pittsburgh Metropolitan Area/Pittsburgh (Pa.),Roads--Pennsylvania--Pittsburgh Metropolitan Area--Maps/Pittsburgh (Pa.)--Maps/United States--Pennsylvania,[Maps of Pennsylvania--Pittsburgh subjects Pl--Roads]
cartographic,"4 maps : cloth, color ; each 125 x 86 cm",2016,https://tile.loc.gov/storage-services/service/gmd/gmd8/g8001/g8001e/ct007688a.gif,"Pictorial maps describing the culture and history of the Hmong people, an Asian ethnic group in Southeast Asia./Relief shown pictorially./Title devised by cataloger./Shows embroidered figures, humans, animals, plants, and geographical images of everyday life in a village or farm in Laos, Cambodia, Thailand, Vietnam, and Mekong River region./Includes white cloth backing and borders of pieced triangles represented mountains for protection of central areas./Available also through the Library of Congress Web site as a raster image./Gift; Judith A. Tyner; October 2016./undetermined $l undetermined $n No visible notice of copyright; any copyright information can be sent to mapcat@loc.gov",http://hdl.loc.gov/loc.gmd/g8001e.ct007688a/http://hdl.loc.gov/loc.gmd/g8001e.ct007688b/http://hdl.loc.gov/loc.gmd/g8001e.ct007688c/http://hdl.loc.gov/loc.gmd/g8001e.ct007688d,,"[Laos] : [manufacturer not identified], [2016]",eng,Southeast Asia,Hmong (Asian People)--Southeast Asia--Social life and customs--Maps/Southeast Asia--Social life and customs--Maps/Ethnic embroidery--Southeast Asia--Maps/Folklore--Southeast Asia--Maps/Ethnology--Southeast Asia--Maps/Southeast Asia,[Hmong hand-stitched story cloth maps of mainland Southeast Asia]
cartographic,col. map 90 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823g/ct003370.gif,"Scale ca. 1:25,000./Cover title./Labels pasted on to show physical features./Manuscript on silk./Imperfect: text incomplete./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Available also through the Library of Congress Web site as a raster image./Includes incomplete text./Hummel purchase 1934, no. 21./Previous call number: G7823.G6C3 1767 .G6 Vault Shelf/AACR2",http://hdl.loc.gov/loc.gmd/g7823g.ct003370,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,"China--Gong Xian (Henan Sheng)/Gong Xian (Henan Sheng, China)","Rivers--China--Gong Xian (Henan Sheng)--Maps/Gong Xian (Henan Sheng, China)--Maps/China--Henan Sheng--Gong Xian",Gong Xian he tu.
cartographic,1 map ; 41 x 22 cm.,1914,https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851e/ct004633.gif,F24620 U.S. Copyright Office/Covers central Washington and adjacent part of Arlington (Va.)./Selected points of interest shown pictorially./Includes notes and ill./LC copy laminated and mounted on cloth backing./Available also through the Library of Congress Web site as a raster image./DCP,http://hdl.loc.gov/loc.gmd/g3851e.ct004633,Capital Sight-Seeing Co.,"[Washington?] : Capital Sight-Seeing Co., c1914.",eng,Washington (D.C.),Washington (D.C.)--Maps/United States--District of Columbia--Washington,"Pictorial map of Washington, D.C."
cartographic,"1 map ; 21 x 38 cm., folded in cover 21 x 11 cm. + 1 text (14 p. : ill. ; 21 cm.)",1914,https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851e/ct004632.gif,"Selected points of interest shown pictorially./Covers city center./Cover title: Free map and guide to Washington : see Washington right./""Copyright, 1914, by J.F. Jarvis.""/Timetable correction slip tipped into accompanying text./Text, directories, and ill. on verso./Available also through the Library of Congress Web site as a raster image./DCP",http://hdl.loc.gov/loc.gmd/g3851e.ct004632,"Jarvis, J. F. (John F.), 1850-/Royal Blue Line Company.","Washington, D.C. : The Company, c1914.",eng,Washington (D.C.),Washington (D.C.)--Maps/Central business districts--Washington (D.C.)--Maps/United States--District of Columbia--Washington,Pictorial map of Washington
cartographic/collection,"27 map sheets in 20 folders in 1 drawer : some color, some photocopies ; various sizes",1941,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:53:ca-053:ca-053-13-01/full/pct:12.5/0/default.jpg,"This record covers single maps of California covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, and may also include plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger./Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-053/https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-053,,"[Various places] : [various publishers], [1941-1963]",eng,California,California--Maps/United States--California,[Maps of California--various subjects Physical 1941-1963]
cartographic/collection,"39 map sheets in 23 folders in 1 drawer : some color, some photocopies ; various sizes",1931,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:12:ca-012:ca-012-08-01/full/pct:12.5/0/default.jpg,"This record covers single maps of California, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger./Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-012/https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-012,,"[Various places] : [various publishers], [1931-1949]",eng,California,California--Maps/United States--California,"[Maps of California, from 1931-1949]"
cartographic,1 online resource.,1582,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:40:7:wdl_00407:txu-oclc-34022876-jgi-25-13-map/full/pct:3.125/0/default.jpg,"Title devised, in English, by Library staff./Original resource extent: 56.5 x 76 centimeters./Original resource at: University of Texas Libraries./Content in Guerrero Nahuatl and Spanish./Description based on data extracted from World Digital Library, which may be extracted from partner institutions.",https://hdl.loc.gov/loc.wdl/wdl.407,,"[place of publication not identified] : [publisher not identified], 1582-03-07.",nah/spa,,"Mexico--Guerrero--Zumpango del Río/1582/Art, Mexican/Aztec art/Manuscript maps/New Spain/Pictorial maps/Spain--Colonies","Muchitlan, Tlaxcala, Mexico."
cartographic,"2 maps on 1 sheet : both sides, col. ; 46 x 56 cm. and 61 x 47 cm., sheet 63 x 59 cm., folded to 21 x 10 cm.",1942,https://tile.loc.gov/storage-services/service/gmd/gmd385/g3850/g3850/ct001035r.gif,"""142.""/Selected buildings shown pictorially on city map./Title from panel./""Copyright, General Drafting Co., Inc.""/Includes text, indexes to points of interest, Alexandria inset, sector diagram, col. ill., and advertisement./Available also through the Library of Congress Web site as a raster image./LC copy torn along fold lines./DCP",http://hdl.loc.gov/loc.gmd/g3850.ct001035r/http://hdl.loc.gov/loc.gmd/g3850.ct001035v,General Drafting Company./Standard Oil Company.,"[New York?] : Standard Oil Company of New Jersey, [1942]",eng,Washington Metropolitan Area/Washington (D.C.),Roads--Washington Metropolitan Area--Maps/Washington (D.C.)--Maps/United States--District of Columbia--Washington,"Esso pictorial guide to Washington, D.C., and vicinity : 1942."
cartographic,1 online resource.,1550,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:50:3:wdl_00503:4289/full/pct:1.5625/0/default.jpg,"Title devised, in English, by Library staff./Original resource extent: 1 map, 75 x 144 centimeters, hand-painting on two joined pieces of parchment./Original resource at: Uppsala University Library./Content in Latin and Classical Nahuatl and Spanish./Description based on data extracted from World Digital Library, which may be extracted from partner institutions.",https://hdl.loc.gov/loc.wdl/wdl.503,,"[place of publication not identified] : [publisher not identified], 1550.",lat/nah/spa,,"Mexico--Distrito Federal--Mexico City/1521/Animals/Art, Mexican/Aztec art/Aztecs/Indians of Mexico/Indigenous peoples/Manners and customs/Manuscript maps/Pictorial maps/Plants/Spain--Colonies/Topographic maps","Tenochtitlán, 1521."
cartographic,col. map 49 x 85 cm. on scroll.,1881,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822y/ct003303.gif,"Scale not given./Title pasted on verso./Relief shown pictorially./Pictorial map./Brush-and-ink and watercolor./Shows the course of the Yellow River from Shouzhang Xian and Yanggu Xian to the sea in Lijin Xian, Shandong Province./Available also through the Library of Congress Web site as a raster image./Hummel purchase 1930, no. 22./Previous call number: G7822.Y4A5 1899 .S5 Vault Shelf/AACR2: 651/1; 650/2",http://hdl.loc.gov/loc.gmd/g7822y.ct003303,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[After 1881],chi,Yellow River (China),Yellow River (China)--Maps/China--Yellow River,Shandong Sheng Huang He tu.
cartographic,"1 map on 2 sheets : ms., col., mounted on 2 scrolls ; 3,575 x 26 cm., sheets 1,722 x 26 cm. and 1,853 x 26 cm.",17uu,https://tile.loc.gov/storage-services/service/gmd/gmd7m/g7964m/g7964tm/gct00271a/ca000001.gif,"Shows road between Edo (Tokyo) to Kyoto./""1-bu o motte 1-chō ni ateru.""/Pictorial map./Relief shown pictorially./Title from title piece mounted on scroll./Pen-and-ink and watercolor./Orientation varies./Worm holes in the map./Stamped on: Kantōkaku [?]; possibly owned by Matsudaira Yorihiro, 1703-1763./Not listed in Kokusho sōmokuroku and Kotenseki sōgō mokuroku; Kokusho sōmokuroku v. 6, p. 14 (Tōkaidō bunken ezu, 5-jō; variants: Tōkaidō kōmoku bunken no zu, Tōkaidō bunken no zu; auth. Ochikochi Dōin cho, Hishikawa Moronobu ga, Genroku 3 [1690] kan)./Available also through the Library of Congress Web site as a raster image.",http://hdl.loc.gov/loc.gmd/g7964tm.gct00271a/http://hdl.loc.gov/loc.gmd/g7964tm.gct00271b,"Ochikochi Dōin, active 17th century./Hishikawa, Moronobu, approximately 1618-approximately 1694.","[Japan : s.n., 17--?]",jpn,Japan--Tokai Region/Japan--Kyōto Region/Tokai Region (Japan)/Kyoto Region (Japan),Roads--Japan--Tokai Region--Maps/Roads--Japan--Kyōto Region--Maps/Tokai Region (Japan)--Maps/Kyoto Region (Japan)--Maps/Japan--Tokyo Region/Japan--Kyōto Region,Tōkaidō bunken ezu
cartographic,1 map ; 171 x 122 cm. fold. in cover 22 x 16 cm. fold. in case 23 x 16 cm.,1741,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964k/ct011900.gif,"Scale not given./Cover title./Wood block print./""Jōkyō 3-nen [1686] kaihan.""/Relief shown pictorially./Pictorial map./Shows selected landowners and points of interest./Includes text and distance chart./Available also through the Library of Congress Web site as a raster image./Vault/AACR2: 650/1; 651/2",https://hdl.loc.gov/loc.gmd/g7964k.ct011900,"Hayashi, Yoshinaga.","[Kyoto] : Hayashi Yoshinaga, Kanpō 1 [1741]",jpn,Japan--Kyoto/Kyoto (Japan),Real property--Japan--Kyoto--Maps/Kyoto (Japan)--Maps/Japan--Kyoto,Kyōto ōezu
cartographic,col. map 90 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823d/ct003307.gif,"Scale ca. 1:25,000./Cover title./Manuscript on silk./Labels pasted on to show physical features./Oriented with north to the bottom./Shows rivers, roads, towns in Dengfeng Xian, Henan Province./Relief shown pictorially./Pictorial map./Hummel purchase 1934, no. 30./Available also through the Library of Congress Web site as a raster image./Includes text./AACR2/Previous Call number:  G7823.D3C3 1767 .D3",http://hdl.loc.gov/loc.gmd/g7823d.ct003307,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,China--Dengfeng Xian/Dengfeng Xian (China),Rivers--China--Dengfeng Xian--Maps/Dengfeng Xian (China)--Maps/China--Dengfeng Xian,Dengfeng Xian he tu.
cartographic,col. map 80 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823h/ct003305a.gif,"Scale ca. 1:180,000./Cover title./Manuscript on silk./Relief shown pictorially./Labels pasted on to show physical features./Oriented with north to the bottom./Pictorial map./Hummel purchase 1934, no. 20./Available also through the Library of Congress Web site as a raster image./Includes text./Previous call number: G7823.H33C3 1767 .H3 Vault Shelf/AACR2",http://hdl.loc.gov/loc.gmd/g7823h.ct003305a/http://hdl.loc.gov/loc.gmd/g7823h.ct003305b,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,China--Henan Sheng/Henan Sheng (China),Rivers--China--Henan Sheng--Maps/Henan Sheng (China)--Maps/China--Henan Sheng,Henan Fu he tu.
cartographic,col. map on sheet 99 x 129 cm.,1816,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7963/g7963s/ct001265.gif,Title supplied./Map covers Mt. Fuji and surroundings in Shizuoka-ken./Manuscript./Oriented with north to the left./Relief shown pictorially./Japanese./Label attached to map: D. Copy of reduced map of Inō (71 years ago)./Available also through the Library of Congress Web site as a raster image./Vault/AACR2/Covering area is a part of this map but description on map differs from: 大日本沿海輿地全図第 100図 甲斐・駿河 (甲斐・山中村・南部宿・駿河・富士山・佐野村).,http://hdl.loc.gov/loc.gmd/g7963s.ct001265,"Inō, Tadataka, 1745-1818.","[Japan : publisher not identified, 1816?]",jpn,Shizuoka-ken (Japan),Shizuoka-ken (Japan)--Maps,[Suruga no Kuni zu] : D. Copy of reduced map of Inō (71 years ago).
cartographic,col. map 38 x 183 cm. on scroll.,1750,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822y/ct003437.gif,"Scale not given./Title pasted on verso./Manuscript on silk./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Shows lower portion of the Yellow River in Jiangsu Province./Hummel purchase 1930, no. 21./Available also through the Library of Congress Web site as a raster image./Prev. call no.: G7822.Y4A5 1753 .H8  Vault Shelf/AACR2: 651/1; 650/2",http://hdl.loc.gov/loc.gmd/g7822y.ct003437,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.","[Qianlong 15 nian, 1750?]",chi,Yellow River (China),Yellow River (China)--Maps--Early works to 1800/China--Yellow River,[Huang He nan he tu].
cartographic,1 map ; 180 x 140 cm. on 2 sheets 94 x 145 cm. fold. in cover 29 x 18 cm on 2 sheets 93 x 144 cm. fold. in cover 29 x 18 cm.,1844,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964o/ct011894.gif,"Wood block print./""Fujimura Naoyuki, Tenpō 15.""/Oriented with north to the left./Relief shown pictorially./Japanese./Pictorial map./Includes distance chart and text./Available also through the Library of Congress Web site as a raster image./Vault/AACR2: 100; 651/""天明 9, 天保15年再鐫.""/""藤村直之訂正・岡田玉山元圖・吉田政章再写・樋口与兵衛鐫字・河内屋太介他.""",https://hdl.loc.gov/loc.gmd/g7964o.ct011894/https://hdl.loc.gov/loc.gmd/g7964o.ct011916,"Okada, Gyokuzan, 1737-ca.1812./Fujimura, Naoyuki, active 19th century.","Ōsaka : Itamiya Zenbē, Tenpō 15 [1844]",jpn,Osaka (Japan),Osaka (Japan)--Maps,Sesshū Ōsaka zenzu
cartographic,1 view : col. ; 40 x 40 cm.,1940,https://tile.loc.gov/storage-services/service/gmd/gmd428/g4282/g4282g/ct003338.gif,Relief shown pictorially./Title printed around the border./Available also through the Library of Congress Web site as a raster image./Includes legend and tourist attractions.,http://hdl.loc.gov/loc.gmd/g4282g.ct003338,"Lindgren, Jolly.","Spokane, Wash. : Lindgren Bros., c1940.",eng,Grand Coulee Dam Region (Wash.)/Grand Coulee Dam (Wash.),Grand Coulee Dam Region (Wash.)--Maps/Grand Coulee Dam (Wash.)--Maps/United States--Washington (State)--Grand Coulee Dam Region/United States--Washington (State)--Grand Coulee Dam,"A hysterical map of the Grand Coulee Dam : all connected up with running water : added attraction, Dry Falls"
cartographic/collection,"1 online resource (10 maps (10 TIFF files)) : color + 1 text (1 PDF file (79 pages) : illustrations, color maps)",1917,[],"Includes introductory essay, discussions of each of the ten maps, photographs and maps./Series of 10 pictorial wall maps issued as posters to illustrate the military successes of the Red Army in the Russian Civil War of 1917-1922./Collection material in Russian./Mode of access: World Wide Web.",https://hdl.loc.gov/loc.gmd/g7001s.g2017588308,"Klein, Michael Joseph, 1959- author/Mullan, Anthony P., editor/Moore, Ryan J., 1973- editor",2016.,rus,Soviet Union/Russia/Eastern Europe/Europe,"Soviet Union--History--Revolution, 1917-1921--Campaigns--Maps/Russia--History--Maps/Eastern Europe--History--Maps/Europe--History--Maps/Library of Congress.--Geography and Map Division--Catalogs/Soviet Union",Triumph and liquidation : an essay and guide to a series of ten pictorial wall maps issued as posters to illustrate the military successes of the Red Army in the Russian Civil War of 1917-1922
cartographic,1 online resource.,1580,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:00:45:7:wdl_00457:txu-oclc-34022876-jgi-23-14-map/full/pct:3.125/0/default.jpg,"Title devised, in English, by Library staff./Original resource extent: 70 x 54 centimeters./Original resource at: University of Texas Libraries./Content in Spanish./Description based on data extracted from World Digital Library, which may be extracted from partner institutions.",https://hdl.loc.gov/loc.wdl/wdl.457,,"[place of publication not identified] : [publisher not identified], 1580-01-17.",spa,,"Mexico--Distrito Federal--Mexico City/1580/Art, Mexican/Aztec art/Aztecs/Indians of Mexico/Indigenous peoples/Manuscript maps/New Spain/Pictorial maps/Spain--Colonies","Culhuacán, Mexico."
