call_number,contributors,access_advisory,notes,rights_advisory,digital_id,genre,location,image_url,repository,date,language,other_title,title,reproduction_number,created_published,source_collection,summary,format,medium,translated_title,number_former_id,subjects
['G4852.N55 1855 .D8'],"['Dupuy, Aug. Myionnet (Auguste Myionnet)']",,"['Relief shown by hachures.', 'Available also through the Library of Congress Web site as a raster image.', 'Includes 3 insets and 6 profiles.']",,['http://hdl.loc.gov/loc.gmd/g4852n.ma001019'],,['Nicaragua Canal (Nicaragua)'],"['https://tile.loc.gov/storage-services/service/gmd/gmd4/g4852/g4852n/ma001019.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd4/g4852/g4852n/ma001019.gif#h=233&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd4:g4852:g4852n:ma001019/full/pct:12.5/0/default.jpg#h=961&w=619', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd4:g4852:g4852n:ma001019/full/pct:25/0/default.jpg#h=1923&w=1239']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1855,['fre'],,"Union des deux ocʹeans Atlantique et Pacifique, par le transit ouvert à travers la rʹepublique De Nicaragua : carte dʹetaillʹee des cinq dʹepartements avec indication des principaux tracʹes du Canal Interocʹeanique ...",,"Paris : vente chez M. M. Andriveau-Goujon, 1855.",,,['cartographic'],['1 map : col. ; 82 x 52 cm.'],,"['https://www.loc.gov/item/2004629021', 'https://www.loc.gov/item/13495805']","['Nicaragua Canal (Nicaragua)--Maps', 'Nicaragua--Nicaragua Canal']"
['G3721.P3 1850 .M6'],"['Morton, A. C. (Engineer)']",,"['Scale [ca. 1:1,625,000].', 'LC Railroad maps, 105', 'Description derived from published bibliography.', 'Inset: Map showing the plan for shortening the transit between New York & London. 12 x 42 cm.', 'Available also through the Library of Congress Web site as a raster image.']",,['http://hdl.loc.gov/loc.gmd/g3721p.rr001050'],,"['New England', 'Maritime Provinces']","['https://tile.loc.gov/storage-services/service/gmd/gmd372/g3721/g3721p/rr001050.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd372/g3721/g3721p/rr001050.gif#h=150&w=163', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd372:g3721:g3721p:rr001050/full/pct:12.5/0/default.jpg#h=1042&w=1130', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd372:g3721:g3721p:rr001050/full/pct:25/0/default.jpg#h=2084&w=2260']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1850,['eng'],,"Map of the European and North American Railway, showing its connection with the railways of the United States & Canada; made by direction of His Excellency John Hubbard, Governor of Maine under the resolve of Aug. 20th 1850.",,"Philad[delphi]a, 1850.",,"[""Shows New England, eastern New York, and the Maritime Provinces.  Gives completed, in progress, and proposed railroads. Indicates drainage, state boundaries, and larger cities. Slightly different edition, engraved by B. W. Thayer & Co., Boston, accompanies Morton's Report on the Survey of the European and North American Railway ... in Documents in Relation to the European and North American Railway Company ... (Portland, Harmon and Williams, 1851)""]",['cartographic'],['col. map 66 x 76 cm.'],,"['https://www.loc.gov/item/98688380', 'https://www.loc.gov/item/5571961']","['Railroads--New England--Maps', 'Railroads--Maritime Provinces--Maps', 'United States--New England', 'Canada--Maritime Provinces']"
['G3851.E622 1889 .M3'],['Evening Star Newspaper Co.'],,"['Shows block numbers, transit routes, and ""Route of inaugural parade.""', 'Includes index to points of interest.', 'LC copies laminated and mounted on cloth backing.', 'Available also through the Library of Congress Web site as a raster image.', '2 copies', 'DCP']",,['http://hdl.loc.gov/loc.gmd/g3851e.ct004642'],,['Washington (D.C.)'],"['https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851e/ct004642.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851e/ct004642.gif#h=111&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd385:g3851:g3851e:ct004642/full/pct:12.5/0/default.jpg#h=636&w=857', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd385:g3851:g3851e:ct004642/full/pct:25/0/default.jpg#h=1273&w=1715']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1889,['eng'],,"Map of the city of Washington : souvenir of March 4th, 1889",,"[Washington, D.C. : Evening star, 1889]",,,['cartographic'],['1 map ; 42 x 55 cm.'],,"['https://www.loc.gov/item/87694149', 'https://www.loc.gov/item/5497885']","['Parades--Washington (D.C.)--Maps', 'Harrison, Benjamin,--1833-1901--Inaugurations', 'Washington (D.C.)--Maps', 'United States--District of Columbia--Washington']"
['G3804.N4:2M3P33 1908 .R3'],['Rand McNally and Company.'],,"['Covers Manhattan, South Bronx, and small adjacent parts of Queens, Brooklyn, and Jersey City.', 'Shows subways, connecting mainline railroads, and complete street system.', '""Copyright, 1908, by Rand, McNally & Co.""', 'Gift; Charles D. Lothridge; Apr. 1998.', 'LC copy use-worn, missing cover, torn at fold lines, additionally fold-lined.', 'Available also through the Library of Congress Web site as a raster image.', 'Acquisitions control no.: 2000-12']",,['http://hdl.loc.gov/loc.gmd/g3804n.ct006628'],,"['New York (State)--New York', 'Manhattan (New York, N.Y.)', 'New York (N.Y.)']","['https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006628.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006628.gif#h=150&w=39', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006628/full/pct:12.5/0/default.jpg#h=1281&w=337', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006628/full/pct:25/0/default.jpg#h=2563&w=674']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1908,['eng'],,[Rapid transit map of Manhattan and adjacent districts of New York City].,,"[New York?] : Rand McNally & Co., c1908.",,,['cartographic'],"['1 map : col. ; 85 x 22 cm., folded to 18 x 12 cm.']",,"['https://www.loc.gov/item/00554816', 'https://www.loc.gov/item/11987827']","['Manhattan (New York, N.Y.)--Maps', 'Subways--New York (State)--New York--Maps', 'Railroads--New York (State)--New York--Commuting traffic--Maps', 'New York (N.Y.)--Maps', 'United States--New York (State)--New York--Manhattan', 'United States--New York (State)--New York']"
['G4360 1867 .R3'],"['Ransom, Leander, 1800-1874.', 'Doolittle, A. J., joint author.', 'Baker, Geo. H. (George Holbrook), 1827-1906.', 'Holt, Warren.']",,"['Scale 1:1,520,640; scale of statute miles, 24 to the in.', ""Cover title: Holt's map of the States of California and Nevada."", 'Hand colored.', 'Relief shown by hachures.', 'Also shows mining districts.', 'Includes index to ""United States land districts"" and distance chart.', 'Accompanied by: Table of distances. 3 p.', 'Available also through the Library of Congress Web site as a raster image.', 'Vault', 'AACR2: 100; 651/1; 651/2; 650/3; 650/4; 651/5; 651/6; 700/2; 700/3']",,['http://hdl.loc.gov/loc.gmd/g4360.ct007805'],,"['California', 'Nevada']","['https://tile.loc.gov/storage-services/service/gmd/gmd436/g4360/g4360/ct007805.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd436/g4360/g4360/ct007805.gif#h=150&w=126', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd436:g4360:g4360:ct007805/full/pct:12.5/0/default.jpg#h=1014&w=853', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd436:g4360:g4360:ct007805/full/pct:25/0/default.jpg#h=2028&w=1707']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1867,['eng'],,"A new map of the States of California and Nevada, exhibiting the rivers, lakes, bays, and islands, with the principal towns, roads, railroads, and transit routes to the silver mining districts; also meridian, standard, range and township lines as established; to which is added the county boundaries and United States land districts.",,"[San Francisco] W. Holt, 1867.",,,['cartographic'],['col. map 67 x 54 cm. fold. in cover 16 x 11 cm.'],,"['https://www.loc.gov/item/78691707', 'https://www.loc.gov/item/5441394']","['California--Maps', 'Nevada--Maps', 'Mining districts--California--Maps', 'Mining districts--Nevada--Maps', 'California--Distances, etc', 'Nevada--Distances, etc', 'United States--California', 'United States--Nevada']"
['G3893.R3G46 188- .M5'],"['Miller, M. E.']",,"['Oriented with north toward the right.', 'Pen-and-ink on tracing cloth, sectioned in 2, and mounted on cloth.', 'LC Civil War maps (2nd ed.), H324', 'Available also through the Library of Congress web site as raster image.', 'In pencil on verso: 465 crossed out.']",,['http://hdl.loc.gov/loc.gmd/g3893r.cwh00324'],,"['West Virginia--Raleigh County', 'Raleigh County, (W. Va.)']","['https://tile.loc.gov/storage-services/service/gmd/gmd389/g3893/g3893r/cwh00324.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd389/g3893/g3893r/cwh00324.gif#h=200&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd389:g3893:g3893r:cwh00324/full/pct:12.5/0/default.jpg#h=1736&w=1301', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd389:g3893:g3893r:cwh00324/full/pct:25/0/default.jpg#h=3472&w=2603']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu']",188u,['eng'],,"Copy of map of Ellen Smith 10,000 acres, Raleigh Co., W. Va. from actual transit survey",,[188-?],,,['cartographic'],"['1 ms. map : col., cloth ; 97 x 73 cm.']",,"['https://www.loc.gov/item/2005625208', 'https://www.loc.gov/item/13934150']","['Real property--West Virginia--Raleigh County--Maps', 'Raleigh County, (W. Va.)--Maps, Manuscript', 'United States--West Virginia--Raleigh County']"
['G3211.B1 1748 .S6'],"['Smith, George, 1700-1773.', 'Cave, Edward, 1691-1754.']",,"['Shows the path of the eclipse.', 'Relief shown pictorially.', 'Includes 24 diagrams showing the eclipse as seen from different cities.', 'Available also through the Library of Congress Web site as a raster image.', 'LC copy mounted on paper along with seven other maps and diagrams taken from various publications. All images within hand drawn frames colored yellow. All but two of the diagrams are hand colored. The entire sheet is mounted on cloth, and stamped ""318A"" in the lower left corner. The added works are: Types and phases of the annular eclipse of the Sun which will happen April the 1st 1764 -- [Map showing the 1764 eclipse] / Gent. Mag. 1764 -- Afbeelding van\'t gaan van Venus over de schyf der Zonne in\'t jaar 1761 -- Types and calculations of the transit of Venus, and the eclipses of the Sun and Moon, in 1769 -- [Two untitled diagrams showing the eclipse of Jupiter by the Moon in 1751] -- [One untitled diagram showing a partial lunar eclipse in 1753].']",,['http://hdl.loc.gov/loc.gmd/g3211b.ct003799'],['Early maps'],['Northern Hemisphere'],"['https://tile.loc.gov/storage-services/service/gmd/gmd3/g3211/g3211b/ct003799.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd3/g3211/g3211b/ct003799.gif#h=150&w=172', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3211:g3211b:ct003799/full/pct:12.5/0/default.jpg#h=1109&w=1273', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3211:g3211b:ct003799/full/pct:25/0/default.jpg#h=2218&w=2547']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1748,['eng'],,"The geography of the great solar eclipse of July 14 MDCCXLVIII : exhibiting an accurate map of all parts of the Earth in which it will be visible, with the North Pole, according to the latest discoveries",,"[London] : Revised and published according to Act of Parliament ... by E. Cave., Jan. 1.1748.",,,['cartographic'],['1 map ; 25 x 35 cm'],,,"['Northern Hemisphere--Early works to 1800--Maps', 'Solar eclipses--1748--Maps--Early works to 1800', 'Astronomy--Charts, diagrams, etc', 'Earth', 'Sun']"
['G3804.N4:2M3P33 1879 .T3'],"['Taunton, S. D. L.']",,"['Covers Manhattan south of 62nd Street.', 'Also shows streetcar lines, trunk railroads, ferries, and piers.', 'Title from panel.', '""Published Feb. 18, 1879, First Edition, 50,000.""', 'Includes notes and inset showing stations north of 59th Street.', 'Text, station directory, table of running times, and advertisements on verso.', 'Available also through the Library of Congress Web site as a raster image.']",,"['http://hdl.loc.gov/loc.gmd/g3804n.ct006631', 'http://hdl.loc.gov/loc.gmd/g3804n.ct006633']",,"['New York (State)--New York', 'Manhattan (New York, N.Y.)']","['https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006631.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006631.gif#h=127&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006631/full/pct:12.5/0/default.jpg#h=544&w=640', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006631/full/pct:25/0/default.jpg#h=1088&w=1281']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1879,['eng'],"[""Citizens' and travelers' rapid transit map and time table""]","Taunton's citizens' and travelers' rapid transit map and time table of the Metropolitan and New York elevated railways : showing, on a new plan, the railways with up and down-town tracks ... ferries, etc., etc.",,"New York : S.D.L. Taunton, map publisher, c1879.",,,['cartographic'],"['1 map : hand col. ; 29 x 18 cm., folded to 21 x 9 cm.']",,"['https://www.loc.gov/item/2004625951', 'https://www.loc.gov/item/13735384']","['Manhattan (New York, N.Y.)--Maps', 'Railroads, Elevated--New York (State)--New York--Maps', 'Street-railroads--New York (State)--New York--Maps', 'Ferries--New York (State)--New York--Maps', 'United States--New York (State)--New York--Manhattan', 'United States--New York (State)--New York']"
,"['Cook, James, 1728-1779 Cartographer.']",,"['Title devised, in English, by Library staff.', '""Relief shown by landform drawings. Depths shown by soundings. North oriented to the right. Longitude given as ""Longitude west from the meridian of Greenwich."" Scale 1:890,000""--Note extracted from World Digital Library.', 'Original resource extent: 1 map : manuscript ; 47 x 73 centimeters.', 'Original resource at: University of Wisconsin-Milwaukee Libraries.', 'Content in English.', 'Description based on data extracted from World Digital Library, which may be extracted from partner institutions.']",,['https://hdl.loc.gov/loc.wdl/wdl.6775'],,,"['https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:5:wdl_06775:am005458/full/pct:3.125/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:5:wdl_06775:am005458/full/pct:3.125/0/default.jpg#h=224&w=316', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:5:wdl_06775:am005458/full/pct:6.25/0/default.jpg#h=449&w=633', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:5:wdl_06775:am005458/full/pct:12.5/0/default.jpg#h=899&w=1266', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:5:wdl_06775:am005458/full/pct:25/0/default.jpg#h=1798&w=2532', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:5:wdl_06775:am005458/full/pct:50/0/default.jpg#h=3597&w=5064', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:5:wdl_06775:am005458/full/pct:100/0/default.jpg#h=7194&w=10128']",,1771,['eng'],,A Chart of Part of the Sea Coast of New South Wales on the East Coast of New Holland from Cape Palmerston to Cape Flattery.,,"[place of publication not identified] : [publisher not identified], 1771.",['American Geographical Society Library Digital Map Collection'],"[""This map is one of four manuscript charts from the first great voyage of exploration by Captain James Cook, which in April 1770 made the first clear delineation of the east coast of Australia. Sponsored by the Royal Society and the Royal Navy, the expedition had several objectives. Cook was to observe and describe the transit of Venus, chart the coastlines of places he visited in the South Pacific, and record details of the peoples, flora, and fauna he saw. The expedition sponsors also hoped Cook would find and claim for Britain the land then known as terra incognita australis. Cook did not sail close to shore, except in a few places, so the amount of detail shown in the map varied with his ship's distance from the coast.""]",['cartographic'],['1 online resource.'],,,"['Australia--New South Wales', 'Australia--Queensland--Cape Flattery', 'Australia--Queensland--Cape Palmerston', '1771', 'Exploration and encounters']"
,"['Cook, James, 1728-1779 Cartographer.']",,"['Title devised, in English, by Library staff.', '""Relief shown by landform drawings. Depths shown by soundings. North oriented to the right. Longitude given as ""Longitude west from the meridian of Greenwich."" Scale 1:890,000.""--Note extracted from World Digital Library.', 'Original resource extent: 1 map : manuscript ; 47 x 73 centimeters.', 'Original resource at: University of Wisconsin-Milwaukee Libraries.', 'Content in English.', 'Description based on data extracted from World Digital Library, which may be extracted from partner institutions.']",,['https://hdl.loc.gov/loc.wdl/wdl.6774'],,,"['https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:4:wdl_06774:am005457/full/pct:3.125/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:4:wdl_06774:am005457/full/pct:3.125/0/default.jpg#h=228&w=302', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:4:wdl_06774:am005457/full/pct:6.25/0/default.jpg#h=457&w=604', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:4:wdl_06774:am005457/full/pct:12.5/0/default.jpg#h=915&w=1209', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:4:wdl_06774:am005457/full/pct:25/0/default.jpg#h=1830&w=2419', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:4:wdl_06774:am005457/full/pct:50/0/default.jpg#h=3660&w=4838', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:4:wdl_06774:am005457/full/pct:100/0/default.jpg#h=7320&w=9677']",,1771,['eng'],,A Chart of Part of the Sea Coast of New South Wales on the East Coast of New Holland from Cape Morton to Cape Palmerston.,,"[place of publication not identified] : [publisher not identified], 1771.",['American Geographical Society Library Digital Map Collection'],"[""This map is one of four manuscript charts from the first great voyage of exploration by Captain James Cook, which in April 1770 made the first clear delineation of the east coast of Australia. Sponsored by the Royal Society and the Royal Navy, the expedition had several objectives. Cook was to observe and describe the transit of Venus, chart the coastlines of places he visited in the South Pacific, and record details of the peoples, flora, and fauna he saw. The expedition sponsors also hoped Cook would find and claim for Britain the land then known as terra incognita australis. Cook did not sail close to shore, except in a few places, so the amount of detail shown in the map varied with his ship's distance from the coast.""]",['cartographic'],['1 online resource.'],,,"['Australia--New South Wales', 'Australia--Queensland--Cape Moreton', 'Australia--Queensland--Cape Palmerston', '1771', 'Exploration and encounters']"
['G3804.N4:2W6G46 1888 .B7'],"['Brooklyn Hills Improvement Company.', 'Wells, Jacob.']",,"['Woodside map is black-and-white cadastral map with lot lines/dimensions, lot/block  numbers, and street widths.', '""Relative position"" map is col. map of adjacent parts of Manhattan/Brooklyn/Queens with radial distances from N.Y. City Hall; also shows municipalities and transit routes.', '""Entered according to Act of Congress, in the year 1888, by the Brooklyn Hills Improvement Company, in the office of the Librarian of Congress at Washington.""', 'Imperfect: Fold-lined, torn at fold lines.', 'Includes text.', 'Available also through the Library of Congress Web site as a raster image.']",,"['http://hdl.loc.gov/loc.gmd/g3804n.ct006618r', 'http://hdl.loc.gov/loc.gmd/g3804n.ct006618v']",,"['New York (State)--New York', 'Woodhaven (New York, N.Y.)', 'New York (N.Y.)']","['https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006618r.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006618r.gif#h=150&w=111', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006618r/full/pct:12.5/0/default.jpg#h=1086&w=800', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006618r/full/pct:25/0/default.jpg#h=2172&w=1601']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1888,['eng'],,"The Brooklyn Hills Improvement Co.'s plat no. 1 : property at Woodhaven, L.I. ; Brooklyn Hills Improvement Co.'s map showing relative position of property to prominent points in cities of New York & Brooklyn",,"New York : Brooklyn Hills Improvement Company, c1888.",,,['cartographic'],"['2 maps on 1 sheet : both sides, 1 col. ; 64 x 43 cm. and 45 x 69 cm., sheet 75 x 56 cm.']",,"['https://www.loc.gov/item/2004625786', 'https://www.loc.gov/item/13668001']","['Woodhaven (New York, N.Y.)--Maps', 'Real property--New York (State)--New York--Maps', 'Local transit--New York (State)--New York--Maps', 'New York (N.Y.)--Administrative and political divisions--Maps', 'United States--New York (State)--New York--Woodhaven', 'United States--New York (State)--New York']"
['G3804.N4:2M3P33 1879 .T3'],"['Taunton, S. D. L.']",,"['Covers Manhattan south of 62nd Street.', 'Also shows streetcar lines, trunk railroads, ferries, and piers.', 'Title from panel.', '""Published Feb. 18, 1879, First Edition, 50,000.""', 'Includes notes and inset showing stations north of 59th Street.', 'Text, station directory, table of running times, and advertisements on verso.', 'Available also through the Library of Congress Web site as a raster image.']",,"['http://hdl.loc.gov/loc.gmd/g3804n.ct006631', 'http://hdl.loc.gov/loc.gmd/g3804n.ct006633']",,"['New York (State)--New York', 'Manhattan (New York, N.Y.)']","['https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006631.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct006631.gif#h=127&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006631/full/pct:12.5/0/default.jpg#h=544&w=640', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct006631/full/pct:25/0/default.jpg#h=1088&w=1281']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1879,['eng'],"[""Citizens' and travelers' rapid transit map and time table""]","Taunton's citizens' and travelers' rapid transit map and time table of the Metropolitan and New York elevated railways : showing, on a new plan, the railways with up and down-town tracks ... ferries, etc., etc.",,"New York : S.D.L. Taunton, map publisher, c1879.",,,['cartographic'],"['1 map : hand col. ; 29 x 18 cm., folded to 21 x 9 cm.']",,"['https://www.loc.gov/item/2004625951', 'https://www.loc.gov/item/13735384']","['Manhattan (New York, N.Y.)--Maps', 'Railroads, Elevated--New York (State)--New York--Maps', 'Street-railroads--New York (State)--New York--Maps', 'Ferries--New York (State)--New York--Maps', 'United States--New York (State)--New York--Manhattan', 'United States--New York (State)--New York']"
,"['Cook, James, 1728-1779 Cartographer.']",,"['Title devised, in English, by Library staff.', '""Relief shown by landform drawings. Depths shown by soundings. North oriented to the right. Longitude given as ""Longitude west from the meridian of Greenwich."" Scale 1:890,000.""--Note extracted from World Digital Library.', 'Original resource extent: 1 map : manuscript ; 47 x 73 centimeters.', 'Original resource at: University of Wisconsin-Milwaukee Libraries.', 'Content in English.', 'Description based on data extracted from World Digital Library, which may be extracted from partner institutions.']",,['https://hdl.loc.gov/loc.wdl/wdl.6773'],,,"['https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:3:wdl_06773:am005456/full/pct:3.125/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:3:wdl_06773:am005456/full/pct:3.125/0/default.jpg#h=226&w=313', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:3:wdl_06773:am005456/full/pct:6.25/0/default.jpg#h=452&w=627', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:3:wdl_06773:am005456/full/pct:12.5/0/default.jpg#h=904&w=1255', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:3:wdl_06773:am005456/full/pct:25/0/default.jpg#h=1809&w=2510', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:3:wdl_06773:am005456/full/pct:50/0/default.jpg#h=3619&w=5020', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:06:77:3:wdl_06773:am005456/full/pct:100/0/default.jpg#h=7239&w=10041']",,1771,['eng'],,A Chart of Part of the Sea Coast of New South Wales on the East Coast of New Holland from Black Head to Cape Morton.,,"[place of publication not identified] : [publisher not identified], 1771.",['American Geographical Society Library Digital Map Collection'],"[""This map is one of four manuscript charts from the first great voyage of exploration by Captain James Cook, which in April 1770 made the first clear delineation of the east coast of Australia. Sponsored by the Royal Society and the Royal Navy, the expedition had several objectives. Cook was to observe and describe the transit of Venus, chart the coastlines of places he visited in the South Pacific, and record details of the peoples, flora, and fauna he saw. The expedition sponsors also hoped Cook would find and claim for Britain the land then known as terra incognita australis. Cook did not sail close to shore, except in a few places, so the amount of detail shown in the map varied with his ship's distance from the coast.""]",['cartographic'],['1 online resource.'],,,"['Australia--New South Wales', 'Australia--Queensland--Cape Moreton', '1771', 'Exploration and encounters']"
['G4371.A5 1934 .A4 TIL'],['Alaska Steamship Co.'],,['Available also through the Library of Congress web site as a raster image.'],,['http://hdl.loc.gov/loc.gmd/g4371a.mf000037'],['Tourist maps'],"['Alaska', 'Canada, Western']","['https://tile.loc.gov/storage-services/service/gmd/gmd437/g4371/g4371a/mf000037.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd437/g4371/g4371a/mf000037.gif#h=150&w=200', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd437:g4371:g4371a:mf000037/full/pct:12.5/0/default.jpg#h=810&w=1083', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd437:g4371:g4371a:mf000037/full/pct:25/0/default.jpg#h=1621&w=2166']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu']",1934,['eng'],,The Alaska Line.,,"[S.l.], 1934.",,,['cartographic'],['1 map : col. ; 52 x 72 cm.'],,"['https://www.loc.gov/item/99466709', 'https://www.loc.gov/item/11805780']","['Steamboat lines--Alaska--Maps', 'Railroads--Alaska--Maps', 'Railroads--Canada, Western--Maps', 'Alaska--Maps', 'Canada, Western--Maps', 'United States--Alaska', 'Canada--Western']"
['G3764.B6:2B56 1976 .U5'],['United States. National Park Service.'],,"['Scale not given.', 'Title from verso.', 'Also covers central Boston.', 'Inset: Rapid transit lines.', 'Text and ill. on verso.', 'Available also through the Library of Congress Web site as a raster image.', 'AACR2']",,['http://hdl.loc.gov/loc.gmd/g3764b.ct006008'],,"['Boston National Historical Park (Boston, Mass.)']","['https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764b/ct006008.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764b/ct006008.gif#h=150&w=70', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd376:g3764:g3764b:ct006008/full/pct:12.5/0/default.jpg#h=1061&w=494', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd376:g3764:g3764b:ct006008/full/pct:25/0/default.jpg#h=2122&w=988']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",1977,['eng'],,"Boston National Historical Park, Massachusetts",,"[Washington] : The Service, [1976] 1977 printing.",,,['cartographic'],['1 map : col. ; on sheet 36 x 33 cm. fold. to 18 x 9 cm.'],,"['https://www.loc.gov/item/80690980', 'https://www.loc.gov/item/5451529']","['Boston National Historical Park (Boston, Mass.)--Maps', 'United States--Massachusetts--Boston--Boston National Historical Park', 'United States--Massachusetts--Boston']"
