Type,Extent,Date,Image_URL,Description,Identifier,Creator,Publisher,Language,Location,Subject,Title
cartographic,"1 map : ms., col. ; 31 x 103 cm., sheet 31 x 132 cm., folded and attached to 2 wooden boards in portfolio 31 x 15 cm.",1859,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823z/ct003304.gif,"Pictorial map./Covers from Zhangbikou to Damiaoji in Anlu Fu, Zhongxiang Xian, Hubei Sheng./Relief shown pictorially./Panel title./Brush-and-ink and watercolor./Oriented with north to the right./Annotated with red labels pasted on to show status of construction for sections of levees./Also shows total length and section lengths of 18 projects along Xiang He [Xiang River] in Hubei Sheng./Available also through the Library of Congress Web site as a raster image./Previous call number: G7823.Z72N2 1858 .Z5 Vault Shelf",http://hdl.loc.gov/loc.gmd/g7823z.ct003304,,[Between 1859 and 1875],chi,China--Zhongxiang Xian/Zhongxiang Xian (China),Levees--China--Zhongxiang Xian--Maps/Zhongxiang Xian (China)--Maps/China--Zhongxiang Xian,Zhongxiang Xian bu di shi ba gong quan tu.
cartographic,col. map 63 x 94 cm.,1867,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824h/ct003295.gif,"Scale ca. 1:7,000./Pen-and-ink and watercolor./Title supplied./Oriented with north to the right./Relief shown pictorially./Pictorial map./Hummel purchase 1930, no. 32./Available also through the Library of Congress Web site as a raster image./Previous call number: G7824.H2A5 1874 .Z5 Vault Shelf/AACR2: 651/1; 650/2/Originally mounted on scroll",http://hdl.loc.gov/loc.gmd/g7824h.ct003295,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.","[Qing Tongzhi 6 nian, 1867]",chi,Hangzhou Shi (China),Hangzhou Shi (China)--Maps/China--Hangzhou Shi,[Zhejiang Sheng yuan fang xiang quan tu].
cartographic,col. map 90 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823s/ct003375.gif,"Scale ca. 1:25,000./Shows rivers in Song Xian, Henan Sheng./Cover title./Manuscript on silk./Labels pasted on to show physical features./Imperfect: Text incomplete./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Hummel purchase 1934, no. 29./Available also through the Library of Congress Web site as a raster image./Includes text./Previous call number: G7823.S7C3 1767 .S6 Vault Shelf/AACR2: 700/1",http://hdl.loc.gov/loc.gmd/g7823s.ct003375,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,China--Song Xian/Song Xian (China),Rivers--China--Song Xian--Maps/Song Xian (China)--Maps/China--Song Xian,Song Xian he tu.
cartographic,col. map 90 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823m/ct003371.gif,"Scale ca. 1:25,000./Shows rivers, mountains, towns, and roads in Mengjin Xian, Henan Province./Cover title./Manuscript on silk./Labels pasted on to show physical features./Oriented with north to the bottom./Pictorial map./Relief shown pictorially./Hummel purchase 1934, no. 26./Available also through the Library of Congress Web site as a raster image./Includes text./Previous call number: G7823.M4C3 1767 .M4 Vault Shelf/AACR2: 700/1",http://hdl.loc.gov/loc.gmd/g7823m.ct003371,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,China--Mengjin Xian/Mengjin Xian (China),Rivers--China--Mengjin Xian--Maps/Mengjin Xian (China)--Maps/China--Mengjin Xian,Mengjin Xian he tu.
cartographic,col. map 46 x 43 cm.,1724,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823b/ct003288.gif,"Scale ca. 1:5,000./Title pasted on verso./Shows city walls, fortresses with watch towers, villages, temples, houses, and roads of Baode Zhou in Shanxi Province./Relief shown pictorially./Pictorial map./Pen-and-ink and watercolor./Available also through the Library of Congress Web site as a raster image./Includes red labels which indicates place names, points of interest, and distance between places./Previous call number: G7823.B3A5 1820 .B3 Vault/AACR2",http://hdl.loc.gov/loc.gmd/g7823b.ct003288,,[Between 1724 and 1764],chi,Baode Xian (China),Baode Xian (China)--Maps/China--Baude Xian,Baode Zhou cheng tu.
cartographic,col. map 91 x 89 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823x/ct003373.gif,"Scale ca. 1:25,000./Shows rivers in Xin'an Xian, Henan Province./Cover title./Manuscript on silk./Labels pasted on to show physical features./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Available also through the Library of Congress Web site as a raster image./Includes text./Hummel purchase 1934, no. 24./Previous call number: G7823.X54C3 1767 .X5 Vault Shelf/AACR2",http://hdl.loc.gov/loc.gmd/g7823x.ct003373,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,"China--Xin'an Xian (Henan Sheng)/Xin'an Xian (Henan Sheng, China)","Rivers--China--Xin'an Xian (Henan Sheng)--Maps/Xin'an Xian (Henan Sheng, China)--Maps/China--Henan Sheng--Xin'an Xian",Xin'an Xian he tu.
cartographic,1 ms. map : col. ; on 14 sheets 37 x 42 cm. folded in case 39 x 26 cm.,1735,https://tile.loc.gov/storage-services/service/gmd/gmd7m/g7822m/g7822ym/gct00273/ca000001.gif,"Scale not given./Title supplied./Previous supplied title: Min Jiang tu shuo./Relief shown pictorially./Pictorial map./Hummel purchase 1934, no. 4./Shows the waterways and points of interest of Min and Yangtze Rivers from Songpan, Sichuan to Jingzhou, Hubei./Available also through the Library of Congress Web site as a raster image./Includes text./Previous call number: G7822.Y3A5 1733 .M5 Vault Shelf",http://hdl.loc.gov/loc.gmd/g7822ym.gct00273,,[After 1735],chi,"Yangtze River (China)/Min River (Sichuan Sheng, China)","Yangtze River (China)--Maps--Early works to 1800/Min River (Sichuan Sheng, China)--Maps--Early works to 1800/China--Sichuan Sheng--Min River/China--Yangtze River","[Sichuan, Hubei shui dao tu]."
cartographic,4 col. maps 55 x 104 cm. or smaller on scroll 55 x 585 cm.,1697,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202a.gif,"Scales differ./Manuscript on silk./Relief shown pictorially./Pictorial map./Bird's-eye view./Covers four frontier regions of the Manchu Dynasty, Aihun area, a military colony since the middle of the 17th century on the north banks of the Amur, Russian camp in eastern Siberia, Taiwan and Pescadores Islands, and Inner Mongolia./Available also through the Library of Congress Web site as a raster image./Shows military installations and defenses in Aihun (Which is now a district in Heihe Shi, Heilongjiang Sheng), Russian camp in eastern Siberia, Taiwan and Inner Mongolia./Hummel purchase 1930, no. 6./AACR2",http://hdl.loc.gov/loc.gmd/g7801r.ct002202a/http://hdl.loc.gov/loc.gmd/g7801r.ct002202b/http://hdl.loc.gov/loc.gmd/g7801r.ct002202c/http://hdl.loc.gov/loc.gmd/g7801r.ct002202d,,[Between 1697 and 1722],chi,"East Asia/Heihe Shi (China)/Siberia, Eastern (Russia)/Taiwan/Inner Mongolia (China)","Fortification--East Asia--Maps--Early works to 1800/Heihe Shi (China)--Maps--Early works to 1800/Siberia, Eastern (Russia)--Maps--Early works to 1800/Taiwan--Maps--Early works to 1800/Inner Mongolia (China)--Maps--Early works to 1800/East Asia/China--Heihe Shi/Russia--Siberia, Eastern/China--Inner Mongolia/Taiwan","[Aihun, Luosha, Taiwan, Nei Menggu tu]"
cartographic,1 ms. map : col. ; 57 x 120 cm. on scroll.,1887,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823g/ct003302.gif,"Labels pasted on verso: Guxiangzhai su biao zi hua./Relief shown pictorially./Pictorial map./Shows Zhennanguan Pass along the French-Indo China border. Zhennanguan Pass is an important defense post of Longzhou against French intrusion in the late 19th century in Guangxi Province./Available also through the Library of Congress Web site as a raster image./Hummel purchase 1930, no. 33.",http://hdl.loc.gov/loc.gmd/g7823g.ct003302,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[1887?],chi,China--Guangxi Zhuangzu Zizhiqu Region/Guangxi Zhuangzu Zizhiqu (China),Fortification--China--Guangxi Zhuangzu Zizhiqu Region--Maps/Guangxi Zhuangzu Zizhiqu (China)--Maps/China--Guangxi Zhuangzu Zizhiqu/China--Guangxi Zhuangzu Zizhiqu Region,[Guangxi bian guan xing shi lüe tu]
cartographic,col. map 90 x 90 cm. fold. in cover 32 x 10 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823m/ct003372.gif,"Scale ca. 1:25,000./Shows rivers in Mianchi Xian, Henan Province./Cover title./Manuscript on silk./Labels pasted on to show physical features./Oriented with north to the bottom./Relief shown pictorially./Hummel purchase 1934, no. 27./Available also through the Library of Congress Web site as a raster image./Includes text./Previous call number: G7823.M5C3 1767 .M5 Vault Shelf/AACR2: 700/1",http://hdl.loc.gov/loc.gmd/g7823m.ct003372,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,China--Mianchi Xian/Mianchi Xian (China),Rivers--China--Mianchi Xian--Maps/Mianchi Xian (China)--Maps/China--Mianchi Xian,Mianchi Xian he tu.
cartographic,col. map on sheet 66 x 125 cm.,1902,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823b/ct003291.gif,"Scale ca. 1:200,000./Title supplied./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Shows Chinese Eastern Railroad built by Russians passing through Harbin. Also shows new immigrant settlements./Bird's-eye-view./Hummel purchase, 1934, no. 8./Available also through the Library of Congress Web site as a raster image./Previous call number: G7823.B5A5 1904 .B5 Vault/AACR2: 700",http://hdl.loc.gov/loc.gmd/g7823b.ct003291,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[After 1902],chi,"Bin Xian (Heilongjiang Sheng, China)","Bin Xian (Heilongjiang Sheng, China)--Maps/China--Heilongjiang Sheng--Bin Xian",[Binzhou ting xiang she quan tu]
cartographic,col. map 89 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824l/ct003306.gif,"Scale ca. 1:25,000./Labels pasted on to show physical features./Cover title./Manuscript on silk./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Available also through the Library of Congress Web site as a raster image./Includes text./Hummel purchase 1934, no. 28./Previous call number: G7824.L88C3 1767 .L8 Vault Shelf/AACR2",http://hdl.loc.gov/loc.gmd/g7824l.ct003306,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,"China--Luoyang (Henan Sheng)/Luoyang (Henan Sheng, China)","Rivers--China--Luoyang (Henan Sheng)--Maps/Luoyang (Henan Sheng, China)--Maps/China--Henan Sheng--Luoyang",Luoyang Xian he tu.
cartographic,"1 map ; on sheet 15 x 112 cm., folded in cover 15 x 9 cm.",1765,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824h/ct003399.gif,"Covers from Anlan Yuan of Haining Zhou in Zhejiang Sheng to Jian Shan in the east coast. The road is ca. 81 kilometers in length./Shows section of road in Haining Zhou, possibly constructed in Ming Dynasty and repaired in Qing Dynasty./Pictorial map./Wood block print./Includes text./Available also through the Library of Congress Web site as a raster image./Previous call number: G7824.H14 1772 .A5 Vault",http://hdl.loc.gov/loc.gmd/g7824h.ct003399,,"[China : s.n.], Qing Qianlong 30-37 nian [1765-1780]",chi,Haining Shi (China),Haining Shi (China)--Maps/China--Haining Shi,Anlanyuan zhi Jianshan qi zuo dao li tu shuo : di san zhan.
cartographic,"1 map : ms., col. ; on sheet 23 x 382 cm. folded in cover 23 x 11 cm.",1855,https://tile.loc.gov/storage-services/service/gmd/gmd7m/g7822m/g7822gm/gct00247/ca000001.gif,"Cover title./Pen-and-ink and watercolor./Relief shown pictorially./Pictorial map./Shows the evaluation of the water control system on the Grand Canal in Shandong Province./Available also through the Library of Congress Web site as a raster image./Includes text./Gift; Arthur William Hummel; 1962, no. 11./Prev. call no.: G7822.G7N22 1882 .S5 Vault Shelf/AACR2: 650/1; 650/2",http://hdl.loc.gov/loc.gmd/g7822gm.gct00247,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1855 and 1866],chi,China--Grand Canal/Grand Canal (China),Flood control--China--Grand Canal--Maps/Grand Canal (China)--Maps/China--Grand Canal,Shandong tong sheng Yunhe qing xing quan tu.
cartographic,col. map 90 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823y/ct003376.gif,"Scale ca. 1:25,000./Shows rivers in Yanshi Xian, Henan Province./Cover title./Labels pasted on to show physical features./Manuscript on silk./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Available also through the Library of Congress Web site as a raster image./Includes text./Hummel purchase 1934, no. 23./Previous call number: G7823.Y4C3 1767 .Y4 Vault Shelf/AACR2",http://hdl.loc.gov/loc.gmd/g7823y.ct003376,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,China--Yanshi Xian/Yanshi Xian (China),Rivers--China--Yanshi Xian--Maps/Yanshi Xian (China)--Maps/China--Yanshi Xian,Yanshi Xian he tu.
cartographic,col. map 80 x 90 cm. fold. in cover 32 x 16 cm.,1734,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823h/ct003305a.gif,"Scale ca. 1:180,000./Cover title./Manuscript on silk./Relief shown pictorially./Labels pasted on to show physical features./Oriented with north to the bottom./Pictorial map./Hummel purchase 1934, no. 20./Available also through the Library of Congress Web site as a raster image./Includes text./Previous call number: G7823.H33C3 1767 .H3 Vault Shelf/AACR2",http://hdl.loc.gov/loc.gmd/g7823h.ct003305a/http://hdl.loc.gov/loc.gmd/g7823h.ct003305b,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1734 and 1779],chi,China--Henan Sheng/Henan Sheng (China),Rivers--China--Henan Sheng--Maps/Henan Sheng (China)--Maps/China--Henan Sheng,Henan Fu he tu.
cartographic,4 col. maps 55 x 104 cm. or smaller on scroll 55 x 585 cm.,1697,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202a.gif,"Scales differ./Manuscript on silk./Relief shown pictorially./Pictorial map./Bird's-eye view./Covers four frontier regions of the Manchu Dynasty, Aihun area, a military colony since the middle of the 17th century on the north banks of the Amur, Russian camp in eastern Siberia, Taiwan and Pescadores Islands, and Inner Mongolia./Available also through the Library of Congress Web site as a raster image./Shows military installations and defenses in Aihun (Which is now a district in Heihe Shi, Heilongjiang Sheng), Russian camp in eastern Siberia, Taiwan and Inner Mongolia./Hummel purchase 1930, no. 6./AACR2",http://hdl.loc.gov/loc.gmd/g7801r.ct002202a/http://hdl.loc.gov/loc.gmd/g7801r.ct002202b/http://hdl.loc.gov/loc.gmd/g7801r.ct002202c/http://hdl.loc.gov/loc.gmd/g7801r.ct002202d,,[Between 1697 and 1722],chi,"East Asia/Heihe Shi (China)/Siberia, Eastern (Russia)/Taiwan/Inner Mongolia (China)","Fortification--East Asia--Maps--Early works to 1800/Heihe Shi (China)--Maps--Early works to 1800/Siberia, Eastern (Russia)--Maps--Early works to 1800/Taiwan--Maps--Early works to 1800/Inner Mongolia (China)--Maps--Early works to 1800/East Asia/China--Heihe Shi/Russia--Siberia, Eastern/China--Inner Mongolia/Taiwan","[Aihun, Luosha, Taiwan, Nei Menggu tu]"
cartographic,col. map 39 x 279 cm. on scroll.,1875,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822y/ct003438.gif,"Scale not given./Unfinished manuscript./Pictorial map./Shows flood control system./Relief shown pictorially./Hummel purchase 1930, no. 24./Available also through the Library of Congress Web site as a raster image./AACR2: 650/1; 651/2; 650/3",http://hdl.loc.gov/loc.gmd/g7822y.ct003438,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[1875?],chi,China--Yellow River/Yellow River (China),Flood control--China--Yellow River--Maps/Yellow River (China)--Maps/China--Yellow River,[Yu sheng Huang He nan an di ba gong cheng tu].
cartographic,col. map 64 x 109 cm. on scroll.,1775,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7822/g7822q/ct003369.gif,"Scale ca. 1:120,000./Title supplied./Oriented with north to the bottom./Relief shown pictorially./Pictorial map./Hummel purchase 1930, no. 34./Shows area along Qiantang River, especially the section of Hangzhou Bay in Zhejiang Province./Available also through the Library of Congress Web site as a raster image./Previous call number: G7822.Q3A5 1820 .H3 Vault Shelf/AACR2: 650/2; 700",http://hdl.loc.gov/loc.gmd/g7822q.ct003369,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1775 and 1809],chi,Qiantang River (China),Qiantang River (China)--Maps/China--Qiantang River,[Qiantang Jiang yan an tu]
cartographic,map 56 x 59 cm. on scroll.,1879,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7824/g7824t/ct003296.gif,"Scale ca. 1:850,000./Wood block print./Pictorial map./Hummel purchase 1930, no. 36./Available also through the Library of Congress Web site as a raster image./Shows selected buildings and points of interest./AACR2",http://hdl.loc.gov/loc.gmd/g7824t.ct003296,"Zhang, Derun./Hummel, Arthur W. (Arthur William), Sr., 1884-1975.","China : Xun wen shu ju, [Between 1879 and 1890]",chi,"Taiyuan (Shanxi Sheng, China)","Taiyuan (Shanxi Sheng, China)--Maps/China--Shanxi Sheng--Taiyuan",[Shanxi sheng cheng jie dao ji fu jin tan miao cun zhuang tu]
cartographic,4 col. maps 55 x 104 cm. or smaller on scroll 55 x 585 cm.,1697,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7801/g7801r/ct002202a.gif,"Scales differ./Manuscript on silk./Relief shown pictorially./Pictorial map./Bird's-eye view./Covers four frontier regions of the Manchu Dynasty, Aihun area, a military colony since the middle of the 17th century on the north banks of the Amur, Russian camp in eastern Siberia, Taiwan and Pescadores Islands, and Inner Mongolia./Available also through the Library of Congress Web site as a raster image./Shows military installations and defenses in Aihun (Which is now a district in Heihe Shi, Heilongjiang Sheng), Russian camp in eastern Siberia, Taiwan and Inner Mongolia./Hummel purchase 1930, no. 6./AACR2",http://hdl.loc.gov/loc.gmd/g7801r.ct002202a/http://hdl.loc.gov/loc.gmd/g7801r.ct002202b/http://hdl.loc.gov/loc.gmd/g7801r.ct002202c/http://hdl.loc.gov/loc.gmd/g7801r.ct002202d,,[Between 1697 and 1722],chi,"East Asia/Heihe Shi (China)/Siberia, Eastern (Russia)/Taiwan/Inner Mongolia (China)","Fortification--East Asia--Maps--Early works to 1800/Heihe Shi (China)--Maps--Early works to 1800/Siberia, Eastern (Russia)--Maps--Early works to 1800/Taiwan--Maps--Early works to 1800/Inner Mongolia (China)--Maps--Early works to 1800/East Asia/China--Heihe Shi/Russia--Siberia, Eastern/China--Inner Mongolia/Taiwan","[Aihun, Luosha, Taiwan, Nei Menggu tu]"
cartographic,col. map on sheet 115 x 209 cm.,1855,https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823g/ct003390.gif,"Scale ca. 1:500,000./Title supplied./Shows mountains, rivers, and lakes of Gansu Province./Relief shown pictorially./Pictorial map./Available also through the Library of Congress Web site as a raster image./Hummel purchase 1930, no. 13./Previous call number: G7823.G3A5 1870 .G3  Vault/AACR2",http://hdl.loc.gov/loc.gmd/g7823g.ct003390,"Hummel, Arthur W. (Arthur William), Sr., 1884-1975.",[Between 1855 and 1871],chi,Gansu Sheng (China),Gansu Sheng (China)--Maps/China--Gansu Sheng,[Gansu yu tu]
