Type,Extent,Date,Image_URL,Description,Identifier,Creator,Publisher,Language,Location,Subject,Title
cartographic/collection,"39 map sheets in 23 folders in 1 drawer : some color, some photocopies ; various sizes",1931,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:12:ca-012:ca-012-08-01/full/pct:12.5/0/default.jpg,"This record covers single maps of California, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger./Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-012/https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-012,,"[Various places] : [various publishers], [1931-1949]",eng,California,California--Maps/United States--California,"[Maps of California, from 1931-1949]"
cartographic,"2 maps on 1 sheet : both sides, col. ; 46 x 56 cm. and 61 x 47 cm., sheet 63 x 59 cm., folded to 21 x 10 cm.",1942,https://tile.loc.gov/storage-services/service/gmd/gmd385/g3850/g3850/ct001035r.gif,"""142.""/Selected buildings shown pictorially on city map./Title from panel./""Copyright, General Drafting Co., Inc.""/Includes text, indexes to points of interest, Alexandria inset, sector diagram, col. ill., and advertisement./Available also through the Library of Congress Web site as a raster image./LC copy torn along fold lines./DCP",http://hdl.loc.gov/loc.gmd/g3850.ct001035r/http://hdl.loc.gov/loc.gmd/g3850.ct001035v,General Drafting Company./Standard Oil Company.,"[New York?] : Standard Oil Company of New Jersey, [1942]",eng,Washington Metropolitan Area/Washington (D.C.),Roads--Washington Metropolitan Area--Maps/Washington (D.C.)--Maps/United States--District of Columbia--Washington,"Esso pictorial guide to Washington, D.C., and vicinity : 1942."
cartographic,1 view : col. ; 40 x 40 cm.,1940,https://tile.loc.gov/storage-services/service/gmd/gmd428/g4282/g4282g/ct003338.gif,Relief shown pictorially./Title printed around the border./Available also through the Library of Congress Web site as a raster image./Includes legend and tourist attractions.,http://hdl.loc.gov/loc.gmd/g4282g.ct003338,"Lindgren, Jolly.","Spokane, Wash. : Lindgren Bros., c1940.",eng,Grand Coulee Dam Region (Wash.)/Grand Coulee Dam (Wash.),Grand Coulee Dam Region (Wash.)--Maps/Grand Coulee Dam (Wash.)--Maps/United States--Washington (State)--Grand Coulee Dam Region/United States--Washington (State)--Grand Coulee Dam,"A hysterical map of the Grand Coulee Dam : all connected up with running water : added attraction, Dry Falls"
cartographic/collection,"41 map sheets in 37 folders in 1 drawer : some color, some photocopies ; various sizes",1927,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:54:ca-054:ca-054-31-01/full/pct:12.5/0/default.jpg,"This record covers single maps of California covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, and may also include plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger./Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-054/https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-054,,"[Various places] : [various publishers], [1927-1967]",eng,California,California--Maps/United States--California,[Maps of California--various subjects Pi-Por]
cartographic/collection,"70 map sheets in 40 folders in 1 drawer : some color, some photocopies ; various sizes",1883,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ca:-0:33:ca-033:ca-033-00001/full/pct:12.5/0/default.jpg,"This record covers single maps of California covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, and may also include plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger.",https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-033,,"[Various places] : [various publishers], [1883-1965]",eng,California,Gold mines and mining--California--Maps/Mines and mineral resources--California--Maps/California--Maps/United States--California,[Maps of California--various subjects mines & minerals-minerals]
cartographic/collection,"50 map sheets in 46 folders in 1 drawer : some color, some photocopies ; various sizes",1910,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ks:-0:57:ks-057:ks-057-00001/full/pct:12.5/0/default.jpg,"This record covers single maps of Kansas cities and towns, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. These maps and may also show various subjects, such as land owners and recreation and tourism. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger.",https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ks-057,,"[Various places] : [various publishers], [from approximately 1910 to 1967]",eng,Kansas/Hutchinson (Kan.)/Independence (Kan.),Cities and towns--Kansas--Maps/Landowners--Kansas--Maps/Hutchinson (Kan.)--Maps/Independence (Kan.)--Maps/United States--Kansas,[Maps of Kansas--cities and towns Hut-J]
cartographic,"1 map : color ; 51 x 88 cm, folded to 16 x 13 cm",1870,https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct011181.gif,"Pictorial map of Manhattan (New York City) south of 62nd Street showing face-front and 3-dimensional drawings of public buildings and major businesses./Also shows streetcar lines and images of boats/ships in the rivers./Oriented with north toward the lower left./""Entered according to Act of Congress in the year 1870 by G.H. Bartlett, in the Office of the Librarian of Congress at Washington.""/LC copy imperfect: Lead-pencil annotation, darkened area on 2 panels on verso probably caused by attachment of cover (now missing)./Includes note in lower margin./Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/g3804n.ct011181,"Bartlett, G. H., active 1870./Major & Knapp Engraving, Manufacturing & Lithographic Co., printer.","New York : G.H. Bartlett, 1870., N.Y. [New York] : Steam press of the Major & Knapp Eng. Mfg. & Lith. Co.",eng,"New York (State)--New York/Manhattan (New York, N.Y.)","Public buildings--New York (State)--New York--Maps/Business enterprises--New York (State)--New York--Maps/Street-railroads--New York (State)--New York--Maps/Manhattan (New York, N.Y.)--Maps/United States--New York (State)--New York--Manhattan","Bartlett's illustrated map of New York City : or stranger's guide showing the public buildings, places of amusement & its' [thus] various architectural features"
cartographic/collection,"53 map sheets in 39 folders in 1 drawer : some color, some photocopies ; various sizes",1884,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:60:pa-160:pa-160-00001/full/pct:12.5/0/default.jpg,"This record covers single maps of Philadelphia showing various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger.",https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.pa-160,,"[Various places] : [various publishers], [from approximately 1884 to 1960]",eng,Pennsylvania--Philadelphia/Philadelphia (Pa.),City planning--Pennsylvania--Philadelphia--Maps/Postal service--Pennsylvania--Philadelphia--Maps/Philadelphia (Pa.)--Maps/United States--Pennsylvania,[Maps of Pennsylvania--Philadelphia subjects Pe-Pz]
cartographic/collection,"27 map sheets in 20 folders in 1 drawer : some color, some photocopies ; various sizes",1941,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:53:ca-053:ca-053-13-01/full/pct:12.5/0/default.jpg,"This record covers single maps of California covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, and may also include plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger./Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-053/https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-053,,"[Various places] : [various publishers], [1941-1963]",eng,California,California--Maps/United States--California,[Maps of California--various subjects Physical 1941-1963]
cartographic,1 map : col. ; 56 x 82 cm.,1946,https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701s/ct003097.gif,Pictorial map./Shows scenes from America's history with names of historical events superimposed on a map of the United States./Available also through the Library of Congress Web site as a raster image.,http://hdl.loc.gov/loc.gmd/g3701s.ct003097,"Bohrod, Aaron/Associated American Artists","[New York : Associated American Artists], c1946.",eng,United States,United States--Historical geography--Maps/United States,"Bohrod's America, its history"
cartographic/collection,"39 map sheets in 23 folders in 1 drawer : some color, some photocopies ; various sizes",1931,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:12:ca-012:ca-012-08-01/full/pct:12.5/0/default.jpg,"This record covers single maps of California, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger./Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-012/https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-012,,"[Various places] : [various publishers], [1931-1949]",eng,California,California--Maps/United States--California,"[Maps of California, from 1931-1949]"
cartographic/collection,"49 map sheets in 29 folders in 1 drawer : some photocopies, some color ; various sizes",1930,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ME:16:ME16:ME_16_00001/full/pct:12.5/0/default.jpg,"This record covers single maps of Maine showing various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger./Available also through the Library of Congress Web site as a raster image.",https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ME16,,"[Various places] : [various publishers], [approximately 1930-1960]",eng,Maine,Power resources--Maine--Maps/Maine--Population--Maps/United States--Maine,[Maps of Maine--various subjects Pi-Pz]
cartographic,"1 map ; 35 x 56 cm, folded to 21 x 31 cm",1932,https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct007809.gif,"Pictorial map of entertainment, restaurant, and speakeasy facilities in the Harlem district, Manhattan, New York City./At foot of principal title: The stars indicate the places that are open all night. The only important omission is ... the various speakeasies but since there are about 500 of them you won't have much trouble./Oriented with north toward the lower right./Purchase; Madison Council using Edwin L. Cox American Legacy funds; 2016./The map sheet has been removed from the folded periodical newspaper: Manhattan--a weekly for wakeful New Yorkers, January 18, 1933, pages 7 to 10./The copyright date given within the map border is 1932; on page 3 of the accompanying newspaper it is 1933./LC copy imperfect: Use-worn, torn at fold lines, page edges wrinkled./Accompanied by folded newspaper: Manhattan published weekly and copyrighted 1933 by Dell Publishing Company, Inc. ... Volume 1, Number 1, January 18, 1933, 16 pages./Includes text in lower margin, location notes in map area, pictorial compass rose, and the personal names of club/restaurant proprietors./Text and humorous illustrations on verso./Available also through the Library of Congress Web site as a raster image.",http://hdl.loc.gov/loc.gmd/g3804n.ct007809,"Campbell, E. Simms (Elmer Simms), 1906-1971, cartographer./Dell Publishing Company, publisher.","New York, N.Y. : Dell Publishing Company, Inc., [1933], © 1933",eng,"New York (State)--New York/Harlem (New York, N.Y.)","Harlem (New York, N.Y.)--Maps/Nightclubs--New York (State)--New York--Maps/Restaurants--New York (State)--New York--Maps/Bars (Drinking establishments)--New York (State)--New York--Maps/United States--New York (State)--New York--Harlem/United States--New York (State)--New York",A night-club map of Harlem
cartographic,"2 maps on 2 sheets : both sides ; 80 x 188 cm. and 79 x 117 cm., each sheet 86 x 61 cm.",1891,https://tile.loc.gov/storage-services/service/gmd/gmd384/g3844/g3844b/ct003394r.gif,"Pictorial map of Baltimore city center containing 3-dimensional drawings of numerous office buildings./""Made from actual photographic views at an expense of many thousand dollars and two year's time.""/Northern-half map oriented with north to the right./Available also through the Library of Congress Web site as a raster image./""Copyrighted 1891 by E. Lloyd.""/Each map printed in 2 segments./LC copies imperfect: Fold-lined./2 copies/Original control no.: unk82060200",http://hdl.loc.gov/loc.gmd/g3844b.ct003394r/http://hdl.loc.gov/loc.gmd/g3844b.ct003394v,"Lloyd, James T./Friedenwald Co.","[New York?: s.n.], c1891",eng,Maryland--Baltimore/Baltimore (Md.),"Baltimore (Md.)--Buildings, structures, etc.--Maps/Office buildings--Maryland--Baltimore--Maps/Central business districts--Maryland--Baltimore--Maps/United States--Maryland--Baltimore",Lloyd's Baltimore elevated building map : of the five hundred million business district of Baltimore
cartographic/collection,"39 map sheets in 30 folders in 1 drawer : some color ; various sizes/1 drawer of maps : some color, some photocopies ; various sizes",1896,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:ca:-0:49:ca-049:ca-049-00001/full/pct:12.5/0/default.jpg,"This record covers single maps of California covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, and may also include plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger.",https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-049,,"[Various places] : [various publishers], [1896-1931]",eng,Yosemite National Park (Calif.),Yosemite National Park (Calif.)--Maps/United States--California,[Maps of California--various subjects parks Yosemite 1896-1931]
cartographic,1 view : col. ; 42 x 58 cm.,1937,https://tile.loc.gov/storage-services/service/gmd/gmd428/g4282/g4282g/ct003339.gif,A panoramic view./Relief shown pictorially./Available also through the Library of Congress Web site as a raster image./Inset map of dam area with north oriented towards the lower right.,http://hdl.loc.gov/loc.gmd/g4282g.ct003339,"Lindgren, Jolly.","Spokane, Wash. : Lindgren Bros., c1937.",eng,Grand Coulee Dam Region (Wash.)/Grand Coulee (Wash. : Coulee)/Sun Lakes State Park (Wash.),Grand Coulee Dam Region (Wash.)--Maps/Grand Coulee (Wash. : Coulee)--Maps/Sun Lakes State Park (Wash.)--Maps/United States--Washington (State)--Grand Coulee Dam Region/United States--Washington (State)--Grand Coulee (Coulee)/United States--Washington (State)--Sun Lakes State Park,"A cockeyed hysterical map of the Grand Coulee Dam, Grand Coulee and Dry Falls State Park : which combined should make a pretty good souvenir --- don't you think?"
cartographic,"1 manuscript map : color, mounted on paper ; 55 x 99 cm + 1 manuscript drawing (color, mounted on cloth and laminated ; 39 x 52 cm)",1845,https://tile.loc.gov/storage-services/service/gmd/gmd373/g3734/g3734a/ct003779r.gif,"Shows buildings pictorially./Pen-and-ink and watercolor./Oriented with north to the right./Folded vertically, with losses in the upper half./Profiles on verso: The hill east & west -- The hill north & south -- Shape of the road from one bridge to the other./Accompanying drawing shows three Shaker buildings, annotated, probably incorrectly, in pencil in lower margin as: 1. Hancock Mass. ; 2. Mt. Lebanon, South family, NY. ; 3. Mt. Lebanon, NY., Shaker meeting house./Available also through the Library of Congress Web site as a raster image.",http://hdl.loc.gov/loc.gmd/g3734a.ct003779r/http://hdl.loc.gov/loc.gmd/g3734a.ct003779v/http://hdl.loc.gov/loc.gmd/g3734a.ct003780,"Bussell, Joshua H., 1816-1900, cartographer.","[Alfred, Maine] : Joshua H. Bussell, August 28, 1845.",eng,Maine--Alfred/Alfred (Me. : Town),Shaker architecture--Maine--Alfred--Maps/Shaker architecture--Pictorial works/Alfred (Me. : Town)--Maps/United States--Maine--Alfred (Town),"A plan of Alfred, Maine"
cartographic/collection,"31 maps in 23 folders in 1 drawer : some color, some photocopies ; various sizes.",1878,https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:hi:-0:13:hi-013:hi-013-02-01/full/pct:12.5/0/default.jpg,"This record covers single maps covering islands of Hawaii, separately or in groups, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. These maps also show various subjects including coasts, parks and reserves, roads, and recreation and tourism. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/./Title supplied by cataloger./Available also through the Library of Congress Web site as a raster image./HI-13-02 through HI-13-23.",https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.hi-013/https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.hi-013,,"[Various places] : [various publishers], [from approximately 1878 to 1969]",eng,Hawaii/Lanai (Hawaii)/Maui (Hawaii),Coasts--Hawaii--Maps/Islands--Hawaii--Maps/Parks--Hawaii--Maps/Outdoor recreation--Hawaii--Maps/Trails--Hawaii--Maps/Lanai (Hawaii)--Maps/Maui (Hawaii)--Maps/United States--Hawaii/United States--Hawaii--Lanai/United States--Hawaii--Maui,[Maps of Hawaii--islands La--Maui to 1905]
cartographic,"1 map ; 22 x 31 cm., folded in cover 16 x 9 cm.",1907,https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851a/ct004532.gif,"E11319 U.S. Copyright Office/Covers city center./Selected points of interest shown pictorially./Alternate title in upper margin and cover title: Jarvis' free pictorial map and guide to Washington./Includes note./Text and advertisements on verso./Text, ill., and advertisements on cover./LC copy mounted on cloth backing./Available also through the Library of Congress Web site as a raster image./DCP",http://hdl.loc.gov/loc.gmd/g3851a.ct004532,"Jarvis, J. F, (John F.), 1850-","[Washington] : J.F. Jarvis, c1907.",eng,Washington (D.C.),Central business districts--Washington (D.C.)--Maps/Washington (D.C.)--Maps/United States--District of Columbia--Washington,"Jarvis' Pictorial map of Washington, D.C."
