other_title,format,medium,date,contents,image_url,related_items,notes,repository,digital_id,contributors,source_collection,created_published,language,location,subjects,title,call_number,summary,genre,number_former_id,access_advisory
"['嵩縣河圖.', 'Map of the river systems in Song County']",['cartographic'],['col. map 90 x 90 cm. fold. in cover 32 x 16 cm.'],1734,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823s/ct003375.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823s/ct003375.gif#h=150&w=173', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823s:ct003375/full/pct:12.5/0/default.jpg#h=1391&w=1605', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823s:ct003375/full/pct:25/0/default.jpg#h=2783&w=3210']",,"['Scale ca. 1:25,000.', 'Shows rivers in Song Xian, Henan Sheng.', 'Cover title.', 'Manuscript on silk.', 'Labels pasted on to show physical features.', 'Imperfect: Text incomplete.', 'Oriented with north to the bottom.', 'Relief shown pictorially.', 'Pictorial map.', 'Hummel purchase 1934, no. 29.', 'Available also through the Library of Congress Web site as a raster image.', 'Includes text.', 'Previous call number: G7823.S7C3 1767 .S6 Vault Shelf', 'AACR2: 700/1']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g7823s.ct003375'],"['Hummel, Arthur W. (Arthur William), Sr., 1884-1975.']",,[Between 1734 and 1779],['chi'],"['China--Song Xian', 'Song Xian (China)']","['Rivers--China--Song Xian--Maps', 'Song Xian (China)--Maps', 'China--Song Xian']",Song Xian he tu.,['G7823.S7C3 1779 .S6'],,"['Pictorial maps', 'Manuscript maps']","['https://www.loc.gov/item/gm71005096', 'https://www.loc.gov/item/5403667']",
['World War Two in the North Sea area'],['cartographic'],"['1 map on 2 sheets : col., cloth backing ; 98 x 145 cm., sheets 102 x 76 cm., folded to 51 x 76 cm.']",1939 d1943,,"['https://tile.loc.gov/storage-services/service/gmd/gmd9/g9112/g9112n/ct002339.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd9/g9112/g9112n/ct002339.gif#h=150&w=224', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd9:g9112:g9112n:ct002339/full/pct:12.5/0/default.jpg#h=1476&w=2202', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd9:g9112:g9112n:ct002339/full/pct:25/0/default.jpg#h=2953&w=4404']",,"['Covers northwestern Europe (North Sea region) including Iceland, northern Russia, Germany, northern France, and intervening land and sea areas.', 'Shows aircraft invasion routes from U.S./U.K., German invasion route of Norway, principal areas bombed by the Allies, principal areas of naval engagements, Allied air bases, Allied naval bases, and German targeted facilities.', 'Relief shown by shading.', 'Pictorial map drawn to resemble a long-distance northward perspective aerial view from outer space.', 'Printed by ""*U.S. Government Printing Office : 1944--O-566403"".', 'Available also through the Library of Congress Web site as a raster image.', 'Includes chronology of military operations and coverage map (inset).', '""Nav. Pers 100046.""']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g9112n.ct002339'],"['United States. Bureau of Naval Personnel. Training Aids.', 'United States. Bureau of Naval Personnel. Educational Services Section.']",,"Washington, D.C. : Distributed by the Educational Services Section, Bureau of Naval Personnel, Navy Dept., [1944]",['eng'],"['North Sea Region', 'Europe']","['World War, 1939-1945--Campaigns--North Sea Region--Maps', 'World War, 1939-1945--Campaigns--Europe--Maps', 'World War, 1939-1945--North Sea Region--Aerial operations, American--Maps', 'World War, 1939-1945--Europe--Aerial operations, American--Maps', 'World War, 1939-1945--North Sea Region--Naval operations, American--Maps', 'World War, 1939-1945--Europe--Naval operations, American--Maps', 'World War, 1939-1945--North Sea Region--Aerial views', 'World War, 1939-1945--Europe--Aerial views', 'North Sea Region', 'Europe']",World War 2 in the North Sea area / Training Aids.,['G9112.N6S7 1943 .U5'],,"['Pictorial maps', 'Aerial views', 'Military maps']","['https://www.loc.gov/item/2013593061', 'https://www.loc.gov/item/17610681']",
,['cartographic'],"['1 map on 2 sheets : col., cloth backing ; 98 x 146 cm, sheets 102 x 76 cm, folded to 51 x 76 cm']",1939 d1943,,"['https://tile.loc.gov/storage-services/service/gmd/gmd9/g9112/g9112n/ct011954.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd9/g9112/g9112n/ct011954.gif#h=101&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd9:g9112:g9112n:ct011954/full/pct:12.5/0/default.jpg#h=1462&w=2162', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd9:g9112:g9112n:ct011954/full/pct:25/0/default.jpg#h=2925&w=4324']",,"['Covers Southwest Pacific Region including Iceland, northern Russia, Germany, northern France, and intervening land and sea areas.', 'Shows aircraft invasion routes from U.S./U.K., German invasion route of Norway, principal areas bombed by the Allies, principal areas of naval engagements, Allied air bases, Allied naval bases, and German targeted facilities.', 'Relief shown by shading.', 'Pictorial map drawn to highlight resemble a long-distance northward perspective aerial view from outer space.', 'Insets: Air distances in the Southwest Pacific--The Solomons campaign, August 1942 to August 1943.', 'Includes text, chronology of the Solomons, coverage map (inset), and color illustrations.', '""U.S. Government Printing Office : 1944--O--566403.""', '""NAVPERS 100056.""', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['https://hdl.loc.gov/loc.gmd/g9112n.ct011954'],"['United States. Bureau of Naval Personnel. Training Aids, cartographer.', 'United States. Bureau of Naval Personnel. Educational Services Section, cartographer.']",,"Washington, D.C. : Distributed by the Educational Services Section, Bureau of Naval Personnel, Navy Department, [1944], Washington, D.C. : Government Printing Office, 1944.",['eng'],"['Oceania', 'Australia']","['World War, 1939-1945--Campaigns--Oceania--Maps', 'World War, 1939-1945--Campaigns--Australia--Maps', 'World War, 1939-1945--Oceania--Aerial operations, American--Maps', 'World War, 1939-1945--Australia--Aerial operations, American--Maps', 'World War, 1939-1945--Oceania--Naval operations, American--Maps', 'World War, 1939-1945--Australia--Naval operations, American--Maps', 'World War, 1939-1945--Oceania--Aerial views', 'World War, 1939-1945--Australia--Aerial views', 'Oceania', 'Australia']",Southwest Pacific / Training Aids.,['G9112.N6S7 1943 .U5'],,"['Pictorial maps', 'Aerial views', 'Military maps']","['https://www.loc.gov/item/2021590550', 'https://www.loc.gov/item/22081441']",
,['cartographic'],"['1 view : col. ; 28 x 42 cm., on sheet 52 x 69 cm.']",1581 d1932,,"['https://tile.loc.gov/storage-services/service/gmd/gmd5/g5754/g5754s/ct003534.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd5/g5754/g5754s/ct003534.gif#h=113&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd5:g5754:g5754s:ct003534/full/pct:12.5/0/default.jpg#h=777&w=1027', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd5:g5754:g5754s:ct003534/full/pct:25/0/default.jpg#h=1555&w=2055']",,"[""Pictorial literary map designed as a bird's-eye view of the town center showing Shakespearean landmarks and other points of interest dated 1581 to 1932."", 'Oriented with north toward the upper right.', '""Published by Pictorial Maps Ltd. for the Travel Association of Great Britain and N. Ireland (Tourist Division of the British Tourist and Holidays Board) ... London S.W.1, England.""', 'Includes notes, quotations, col. ill. of scenes from Shakespeare plays, col. ill. of Shakespeare homes, and coats-of-arms.', 'Available also through the Library of Congress Web site as a raster image.', 'LMP']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['https://hdl.loc.gov/loc.gmd/g5754s.ct003534'],"['Pictorial Maps Ltd', 'Travel Association of the United Kingdom of Great Britain and Northern Ireland']",,"[London?] : Pictorial Maps Ltd., [196-?]",['eng'],"['England--Stratford-upon-Avon', 'Stratford-upon-Avon (England)']","['Literary landmarks--England--Stratford-upon-Avon--Maps', 'Stratford-upon-Avon (England)--Aerial views', 'Stratford-upon-Avon (England)--Maps', 'Shakespeare, William,--1564-1616--Homes and haunts--England--Stratford-upon-Avon--Maps', 'Shakespeare, William,--1564-1616--Dramatic production--Pictorial works', 'England--Stratford-upon-Avon']",Stratford-upon-Avon,['G5754.S85E65 1932 .P5'],,"['Pictorial maps', 'Tourist maps']","['https://www.loc.gov/item/98688113', 'https://www.loc.gov/item/5571694']",
"['世界萬國日本ヨリ海上里數国印王城人物圖.', 'Sekaizu ichiran']",['cartographic'],"['1 map : col., mounted on paper backing ; 32 x 44 cm., folded in cover 36 x 26 cm.']",1800,,"['https://tile.loc.gov/storage-services/service/gmd/gmd3/g3201/g3201a/ct007196.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd3/g3201/g3201a/ct007196.gif#h=111&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3201:g3201a:ct007196/full/pct:12.5/0/default.jpg#h=522&w=706', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3201:g3201a:ct007196/full/pct:25/0/default.jpg#h=1044&w=1413']",,"['Shows countries of the world, their people, and distances from Japan.', 'Also shows the continents (Asia, Europe, Libya [i.e. Africa], North and South America), the oceans, some capitals, the equator, and the tropics.', 'Pictorial map.', 'Relief shown pictorially.', 'Japanese.', 'Cover and cover title added of a later date.', 'Wood block print.', 'Includes explanatory notes.', 'LC copy: Hand-drawn and colored anatomical drawings on verso of backing paper.', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g3201a.ct007196'],,,"[Japan : s.n., 18--?]",['jpn'],,"['Ethnology--Maps', 'Earth (Planet)']",Sekai bankoku Nihon yori kaijō risū kunijirushi ōjō jinbutsuzu.,['G3201.A5 18-- .S4'],,"['World maps', 'Early maps', 'Pictorial maps', 'Maps']","['https://www.loc.gov/item/88691685', 'https://www.loc.gov/item/5500925']",
,['cartographic'],['1 online resource.'],1672,,"['https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:3.125/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:3.125/0/default.jpg#h=205&w=267', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:6.25/0/default.jpg#h=410&w=534', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:12.5/0/default.jpg#h=821&w=1068', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:25/0/default.jpg#h=1642&w=2136', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:50/0/default.jpg#h=3285&w=4272', 'https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:14:43:5_:00:1:wdl_14435_001:0017/full/pct:100/0/default.jpg#h=6571&w=8545']",,"['Title devised, in English, by Library staff.', 'Original resource extent: 2 scrolls ; 41 centimeters.', 'Original resource at: National Diet Library.', 'Content in Japanese.', 'Description based on data extracted from World Digital Library, which may be extracted from partner institutions.']",,['https://hdl.loc.gov/loc.wdl/wdl.14435'],,,"Kyoto : Nishida Shobee, 1672.",['jpn'],,"['Japan', '1672', 'Description and travel', 'Pictorial maps']",Map of the Sea and Land Routes from Edo to Nagasaki.,,"['Presented here is a pictorial route map, published in 1672 (early Edo period), that depicts the journey from Edo (present-day Tokyo) to Nagasaki. The first volume shows the land route from Edo to Kyōto. Starting from Edo Castle, it proceeds to Kyōto along the Tōkaidō, which was the main road in the Edo period. It depicts stations on the route, natural scenery, and famous places, such as Mount Fuji (in the 11th scene), accompanied by explanatory text. The second volume shows the route from Osaka to Nagasaki. It depicts mainly sea routes, although some land route scenes also appear after Kyūshū. Seto Naikai (The Inland Sea) stretches out in the middle of the pictures, and towns and scenic spots along the Honshū and Shikoku coasts are also depicted. This volume does not feature the sort of explanatory text that was provided in the first volume, but it does display the distances of the sea routes. It is thought that the contents and drawing techniques are based on another pictorial route map, compiled by the Shogunate and completed in 1668.']",,,
"['孟津縣河圖.', 'Map of the river systems in Mengjin County']",['cartographic'],['col. map 90 x 90 cm. fold. in cover 32 x 16 cm.'],1734,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823m/ct003371.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823m/ct003371.gif#h=150&w=175', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823m:ct003371/full/pct:12.5/0/default.jpg#h=1392&w=1624', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823m:ct003371/full/pct:25/0/default.jpg#h=2785&w=3248']",,"['Scale ca. 1:25,000.', 'Shows rivers, mountains, towns, and roads in Mengjin Xian, Henan Province.', 'Cover title.', 'Manuscript on silk.', 'Labels pasted on to show physical features.', 'Oriented with north to the bottom.', 'Pictorial map.', 'Relief shown pictorially.', 'Hummel purchase 1934, no. 26.', 'Available also through the Library of Congress Web site as a raster image.', 'Includes text.', 'Previous call number: G7823.M4C3 1767 .M4 Vault Shelf', 'AACR2: 700/1']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g7823m.ct003371'],"['Hummel, Arthur W. (Arthur William), Sr., 1884-1975.']",,[Between 1734 and 1779],['chi'],"['China--Mengjin Xian', 'Mengjin Xian (China)']","['Rivers--China--Mengjin Xian--Maps', 'Mengjin Xian (China)--Maps', 'China--Mengjin Xian']",Mengjin Xian he tu.,['G7823.M4C3 1779 .M4'],,"['Pictorial maps', 'Manuscript maps']","['https://www.loc.gov/item/gm71005097', 'https://www.loc.gov/item/5403668']",
"['保德州城圖.', 'Map of Baode']",['cartographic'],['col. map 46 x 43 cm.'],1724,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823b/ct003288.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7823/g7823b/ct003288.gif#h=163&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823b:ct003288/full/pct:12.5/0/default.jpg#h=734&w=674', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7823:g7823b:ct003288/full/pct:25/0/default.jpg#h=1468&w=1348']",,"['Scale ca. 1:5,000.', 'Title pasted on verso.', 'Shows city walls, fortresses with watch towers, villages, temples, houses, and roads of Baode Zhou in Shanxi Province.', 'Relief shown pictorially.', 'Pictorial map.', 'Pen-and-ink and watercolor.', 'Available also through the Library of Congress Web site as a raster image.', 'Includes red labels which indicates place names, points of interest, and distance between places.', 'Previous call number: G7823.B3A5 1820 .B3 Vault', 'AACR2']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g7823b.ct003288'],,,[Between 1724 and 1764],['chi'],['Baode Xian (China)'],"['Baode Xian (China)--Maps', 'China--Baude Xian']",Baode Zhou cheng tu.,['G7823.B3A5 1764 .B3'],,"['Manuscript maps', 'Pictorial maps']","['https://www.loc.gov/item/gm71005156', 'https://www.loc.gov/item/5403727']",
,['cartographic'],"['2 maps on 1 sheet : col. ; each 42 x 31 cm., sheet 46 x 64 cm.']",1789,['London -- Paris.'],"['https://tile.loc.gov/storage-services/service/gmd/gmd5/g5754/g5754l/ct003533.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd5/g5754/g5754l/ct003533.gif#h=111&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd5:g5754:g5754l:ct003533/full/pct:12.5/0/default.jpg#h=756&w=1023', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd5:g5754:g5754l:ct003533/full/pct:25/0/default.jpg#h=1512&w=2047']",,"['Pictorial literary maps.', 'Includes col. ill. and coat-of-arms.', 'Available also through the Library of Congress Web site as a raster image.', 'LC copy 1 laminated and mounted on cloth backing.', 'LMP']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['https://hdl.loc.gov/loc.gmd/g5754l.ct003533'],"['Henry, Everett']",,"Cleveland : Harris-Seybold Co., c1957.",['eng'],"['England--London', 'France--Paris', 'London (England)', 'Paris (France)']","['Literary landmarks--England--London--Maps', 'Literary landmarks--France--Paris--Maps', 'Dickens, Charles,--1812-1870.--Tale of two cities--Maps', 'London (England)--Maps', 'Paris (France)--Maps', 'England--London', 'France--Paris']",A tale of two cities : from the book by Charles Dickens : [central London and central Paris],['G5754.L7E65 1789 .H4 MLC'],,['Pictorial maps'],"['https://www.loc.gov/item/93686623', 'https://www.loc.gov/item/5536843']",
['Illustrated map of New York City'],['cartographic'],"['1 map : color ; 51 x 88 cm, folded to 16 x 13 cm']",1870,,"['https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct011181.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/ct011181.gif#h=95&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct011181/full/pct:12.5/0/default.jpg#h=889&w=1408', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:ct011181/full/pct:25/0/default.jpg#h=1778&w=2816']",,"['Pictorial map of Manhattan (New York City) south of 62nd Street showing face-front and 3-dimensional drawings of public buildings and major businesses.', 'Also shows streetcar lines and images of boats/ships in the rivers.', 'Oriented with north toward the lower left.', '""Entered according to Act of Congress in the year 1870 by G.H. Bartlett, in the Office of the Librarian of Congress at Washington.""', 'LC copy imperfect: Lead-pencil annotation, darkened area on 2 panels on verso probably caused by attachment of cover (now missing).', 'Includes note in lower margin.', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['https://hdl.loc.gov/loc.gmd/g3804n.ct011181'],"['Bartlett, G. H., active 1870.', 'Major & Knapp Engraving, Manufacturing & Lithographic Co., printer.']",,"New York : G.H. Bartlett, 1870., N.Y. [New York] : Steam press of the Major & Knapp Eng. Mfg. & Lith. Co.",['eng'],"['New York (State)--New York', 'Manhattan (New York, N.Y.)']","['Public buildings--New York (State)--New York--Maps', 'Business enterprises--New York (State)--New York--Maps', 'Street-railroads--New York (State)--New York--Maps', 'Manhattan (New York, N.Y.)--Maps', 'United States--New York (State)--New York--Manhattan']","Bartlett's illustrated map of New York City : or stranger's guide showing the public buildings, places of amusement & its' [thus] various architectural features",['G3804.N4:2M3A5 1870 .B3'],,['Pictorial maps'],"['https://www.loc.gov/item/2019585073', 'https://www.loc.gov/item/20893970']",
,['cartographic'],['1 map : mounted on cloth ; 24 x 18 cm.'],1896,,"['https://tile.loc.gov/storage-services/service/gmd/gmd8/g8314/g8314d/ct011331.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd8/g8314/g8314d/ct011331.gif#h=150&w=114', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd8:g8314:g8314d:ct011331/full/pct:12.5/0/default.jpg#h=419&w=318', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd8:g8314:g8314d:ct011331/full/pct:25/0/default.jpg#h=839&w=637']",,"['Shows ""The Dongola Campaign"", where Kitchener commanded the Anglo-Egyptian forces at the battles of ""Firket"" and ""Hafir"" against the Dervishes of the Mahdi movement in Sudan before going on to Dongola. The forces entered Dongola in September 1896.', 'Gift; A.P. Loper; Dec. 13, 1940.', 'Map is published in the New York Herald, Sept. 21, 1896.', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['https://hdl.loc.gov/loc.gmd/g8314d.ct011331'],"['New York Herald Company.', 'Kitchener, Horatio Herbert Kitchener, Earl, 1850-1916', 'Mahdī, Muḥammad Aḥmad, 1848-1885.']","['New York Herald. Sept. 21, 1896']","New York : N.Y. Herald Co., [1896]",['eng'],"['Dunqulah (Sudan)', 'Sudan']","['Dunqulah (Sudan)--Maps', 'Sudan--History--1881-1899', 'Sudan--Dunqulah']",Map showing the British advance upon Dongola.,['G8314.D8S1 1896 .N4'],,['Pictorial maps'],"['https://www.loc.gov/item/2012591520', 'https://www.loc.gov/item/17483454']",
"['元治新撰皇都細見圖.', 'Kōto saikenzu']",['cartographic'],"['1 map : col. ; 50 x 72 cm., folded to 17 x 13 cm.']",1864,,"['https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964k/ct011896.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd7/g7964/g7964k/ct011896.gif#h=107&w=150', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7964:g7964k:ct011896/full/pct:12.5/0/default.jpg#h=780&w=1093', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd7:g7964:g7964k:ct011896/full/pct:25/0/default.jpg#h=1560&w=2186']",,"['Street map of Kyoto, showing temples, shrines, palaces, mansions, etc.', 'Relief shown pictorially in surrounding area.', 'Japanese.', 'Panel title.', 'Oriented with north to the left.', 'Includes col. ill.', 'Available also through the Library of Congress Web site as a raster image.', 'Acquisitions control no. 96-11h']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['https://hdl.loc.gov/loc.gmd/g7964k.ct011896'],,,"[Kyoto? : s.n., 1864?]",['jpn'],['Kyoto (Japan)'],"['Kyoto (Japan)--Maps', 'Kyoto (Japan)--Buildings, structures, etc.--Maps', 'Japan--Kyoto']",Genji shinsen kōto saikenzu.,['G7964.K98 1864 .G4'],,['Pictorial maps'],"['https://www.loc.gov/item/99464289', 'https://www.loc.gov/item/11816374']",
"['Pennsylvania title collection--drawer 160', 'Pennsylvania title collection--Philadelphia subjects Pe-Pz']","['cartographic', 'collection']","['53 map sheets in 39 folders in 1 drawer : some color, some photocopies ; various sizes']",1884,,"['https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:60:pa-160:pa-160-00001/full/pct:12.5/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:60:pa-160:pa-160-00001/full/pct:12.5/0/default.jpg#h=381&w=288', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolfold:pa:-1:60:pa-160:pa-160-00001/full/pct:25/0/default.jpg#h=762&w=577']",,"['This record covers single maps of Philadelphia showing various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps and may also include some multi-sheet single maps, plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/.', 'Title supplied by cataloger.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.pa-160'],,,"[Various places] : [various publishers], [from approximately 1884 to 1960]",['eng'],"['Pennsylvania--Philadelphia', 'Philadelphia (Pa.)']","['City planning--Pennsylvania--Philadelphia--Maps', 'Postal service--Pennsylvania--Philadelphia--Maps', 'Philadelphia (Pa.)--Maps', 'United States--Pennsylvania']",[Maps of Pennsylvania--Philadelphia subjects Pe-Pz],['G3824.P5 coll .M3 drawer 160'],,"['Maps', 'Pictorial maps']",,
"['Alternate supplied title: California title collection drawer 53', 'Alternate supplied title: California title collection--various subjects Physical 1941-1963']","['cartographic', 'collection']","['27 map sheets in 20 folders in 1 drawer : some color, some photocopies ; various sizes']",1941,,"['https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:53:ca-053:ca-053-13-01/full/pct:12.5/0/default.jpg', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:53:ca-053:ca-053-13-01/full/pct:12.5/0/default.jpg#h=917&w=1628', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmdtitlecolmaps:ca:-0:53:ca-053:ca-053-13-01/full/pct:25/0/default.jpg#h=1835&w=3256']",,"['This record covers single maps of California covering various subjects, which are not represented in the LC database by separate catalog records. This collection includes single printed maps and photocopies of printed or manuscript single maps as well as some multi-sheet single maps, and may also include plates from atlases, books or periodicals, and printed facsimiles. To request a specific map or for more information, contact a reference librarian in the Geography & Map Division (202) 707-6277 or through the ""Ask a librarian"" link through the Geography & Map Division website https://ask.loc.gov/map-geography/.', 'Title supplied by cataloger.', 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']","['https://hdl.loc.gov/loc.gmd/gmdtitlecolmaps.ca-053', 'https://hdl.loc.gov/loc.gmd/gmdtitlecolfold.ca-053']",,,"[Various places] : [various publishers], [1941-1963]",['eng'],['California'],"['California--Maps', 'United States--California']",[Maps of California--various subjects Physical 1941-1963],['G4361.C1 coll .M3 drawer 53'],,"['Maps', 'Physical maps', 'Pictorial maps', 'Views']",,
"['America, its history']",['cartographic'],['1 map : col. ; 56 x 82 cm.'],1946,,"['https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701s/ct003097.gif', 'https://tile.loc.gov/storage-services/service/gmd/gmd370/g3701/g3701s/ct003097.gif#h=150&w=213', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd370:g3701:g3701s:ct003097/full/pct:12.5/0/default.jpg#h=1181&w=1674', 'https://tile.loc.gov/image-services/iiif/service:gmd:gmd370:g3701:g3701s:ct003097/full/pct:25/0/default.jpg#h=2363&w=3348']",,"['Pictorial map.', ""Shows scenes from America's history with names of historical events superimposed on a map of the United States."", 'Available also through the Library of Congress Web site as a raster image.']","['Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu']",['http://hdl.loc.gov/loc.gmd/g3701s.ct003097'],"['Bohrod, Aaron', 'Associated American Artists']",,"[New York : Associated American Artists], c1946.",['eng'],['United States'],"['United States--Historical geography--Maps', 'United States']","Bohrod's America, its history","['G3701.S1 1946 .B6', 'G3701.S1 1946 .B6 Copy 2 Muriel H. Parry collection : Parry 553', 'G3701.S1 1946 .B6 Copy 3 Ethel M. Fair collection : Fair 793']",,['Pictorial maps'],"['https://www.loc.gov/item/2012588338', 'https://www.loc.gov/item/5820010']",
